date,load_50hz_actual,load_50hz_fitted,load_50hz_lower,load_50hz_upper
2025-03-02 00:00:00+00:00,9991.5,9945.10573295804,9491.746199460838,10398.465266455241
2025-03-02 01:00:00+00:00,9956.25,9952.89782829476,9499.53829479756,10406.25736179196
2025-03-02 02:00:00+00:00,9882.75,9866.086236874924,9412.726703377723,10319.445770372125
2025-03-02 03:00:00+00:00,9932.25,9800.833544968367,9347.474011471166,10254.193078465567
2025-03-02 04:00:00+00:00,9856.5,10057.405124855559,9604.045591358357,10510.76465835276
2025-03-02 05:00:00+00:00,9949.0,9618.342839169218,9164.983305672016,10071.70237266642
2025-03-02 06:00:00+00:00,10414.5,10635.8992674108,10182.539733913598,11089.258800908001
2025-03-02 07:00:00+00:00,11327.0,11296.338430504768,10842.978897007566,11749.697964001969
2025-03-02 08:00:00+00:00,11936.5,11703.040798456757,11249.681264959556,12156.400331953957
2025-03-02 09:00:00+00:00,12465.25,12152.343929805558,11698.984396308359,12605.70346330276
2025-03-02 10:00:00+00:00,12887.25,12137.62851011059,11684.26897661339,12590.988043607791
2025-03-02 11:00:00+00:00,12431.5,11511.03901691052,11057.679483413318,11964.398550407719
2025-03-02 12:00:00+00:00,11962.25,11130.237506372383,10676.877972875182,11583.597039869584
2025-03-02 13:00:00+00:00,11468.5,11018.168121625715,10564.808588128513,11471.527655122914
2025-03-02 14:00:00+00:00,11426.0,11200.588747854032,10747.229214356832,11653.948281351233
2025-03-02 15:00:00+00:00,11752.5,11337.126382177254,10883.766848680054,11790.485915674455
2025-03-02 16:00:00+00:00,12322.5,11835.040755674758,11381.681222177558,12288.40028917196
2025-03-02 17:00:00+00:00,12796.75,11969.866257501868,11516.506724004668,12423.22579099907
2025-03-02 18:00:00+00:00,12773.0,11825.413445756063,11372.053912258862,12278.772979253265
2025-03-02 19:00:00+00:00,12225.5,11342.86079050881,10889.50125701161,11796.220324006012
2025-03-02 20:00:00+00:00,11777.5,11049.84222413306,10596.48269063586,11503.201757630262
2025-03-02 21:00:00+00:00,11588.25,10730.227220040648,10276.867686543446,11183.586753537847
2025-03-02 22:00:00+00:00,11083.0,10227.714648166851,9774.355114669652,10681.074181664053
2025-03-02 23:00:00+00:00,10740.0,10311.77790080108,9858.418367303879,10765.137434298282
2025-03-03 00:00:00+00:00,10674.0,10402.410812507545,9949.051279010346,10855.770346004747
2025-03-03 01:00:00+00:00,10634.75,10229.645245080594,9776.285711583392,10683.004778577793
2025-03-03 02:00:00+00:00,10965.25,10308.04775948331,9854.688225986109,10761.407292980512
2025-03-03 03:00:00+00:00,11272.75,10482.967437955569,10029.607904458368,10936.32697145277
2025-03-03 04:00:00+00:00,12082.25,11500.876139169815,11047.516605672616,11954.235672667017
2025-03-03 05:00:00+00:00,13442.25,11936.504289940414,11483.144756443213,12389.863823437616
2025-03-03 06:00:00+00:00,14661.75,13699.388126499307,13246.028593002105,14152.747659996508
2025-03-03 07:00:00+00:00,15053.0,13893.660652190387,13440.301118693185,14347.020185687588
2025-03-03 08:00:00+00:00,15384.75,13912.076315421544,13458.716781924342,14365.435848918743
2025-03-03 09:00:00+00:00,15639.0,13863.053536802257,13409.694003305056,14316.413070299457
2025-03-03 10:00:00+00:00,15642.25,13698.697918713022,13245.338385215822,14152.057452210223
2025-03-03 11:00:00+00:00,15369.75,13485.3251093447,13031.965575847498,13938.684642841901
2025-03-03 12:00:00+00:00,15219.75,13077.6524767512,12624.292943253999,13531.012010248402
2025-03-03 13:00:00+00:00,14903.0,12961.765335191896,12508.405801694695,13415.124868689096
2025-03-03 14:00:00+00:00,13831.25,13099.730681038203,12646.371147541002,13553.090214535405
2025-03-03 15:00:00+00:00,13662.5,13569.324826487356,13115.965292990155,14022.684359984558
2025-03-03 16:00:00+00:00,13982.25,13914.629975914271,13461.27044241707,14367.98950941147
2025-03-03 17:00:00+00:00,14474.25,13858.110360132057,13404.750826634856,14311.469893629259
2025-03-03 18:00:00+00:00,14185.0,13799.292453102018,13345.932919604817,14252.65198659922
2025-03-03 19:00:00+00:00,13665.0,13529.355091805792,13075.99555830859,13982.714625302993
2025-03-03 20:00:00+00:00,12940.75,13385.733686557476,12932.374153060275,13839.093220054678
2025-03-03 21:00:00+00:00,12357.75,12307.045470389952,11853.68593689275,12760.405003887154
2025-03-03 22:00:00+00:00,11841.25,11581.229844059084,11127.870310561884,12034.589377556285
2025-03-03 23:00:00+00:00,11269.25,11301.780984684454,10848.421451187252,11755.140518181654
2025-03-04 00:00:00+00:00,10935.25,10887.269286816743,10433.909753319542,11340.628820313943
2025-03-04 01:00:00+00:00,10810.75,10866.205174609513,10412.845641112313,11319.564708106715
2025-03-04 02:00:00+00:00,11034.5,11108.433766838976,10655.074233341775,11561.793300336176
2025-03-04 03:00:00+00:00,11441.0,11139.457395877884,10686.097862380682,11592.816929375085
2025-03-04 04:00:00+00:00,12143.25,11464.304143307176,11010.944609809974,11917.663676804375
2025-03-04 05:00:00+00:00,13456.0,13240.006774111365,12786.647240614164,13693.366307608567
2025-03-04 06:00:00+00:00,14331.25,13322.88995790474,12869.530424407538,13776.249491401939
2025-03-04 07:00:00+00:00,14980.0,14051.384966152644,13598.025432655444,14504.744499649845
2025-03-04 08:00:00+00:00,14973.25,13604.29492068887,13150.935387191668,14057.654454186071
2025-03-04 09:00:00+00:00,14960.5,13389.116907460717,12935.757373963515,13842.476440957917
2025-03-04 10:00:00+00:00,14826.5,12590.985433354159,12137.625899856957,13044.34496685136
2025-03-04 11:00:00+00:00,14266.5,12882.41953773908,12429.06000424188,13335.779071236282
2025-03-04 12:00:00+00:00,14267.5,13173.22017146401,12719.860637966809,13626.57970496121
2025-03-04 13:00:00+00:00,13592.25,13032.732037941045,12579.372504443843,13486.091571438246
2025-03-04 14:00:00+00:00,13382.25,13149.154254195833,12695.794720698634,13602.513787693035
2025-03-04 15:00:00+00:00,13205.25,13189.621006998399,12736.2614735012,13642.9805404956
2025-03-04 16:00:00+00:00,13712.5,13235.46010340923,12782.100569912029,13688.819636906432
2025-03-04 17:00:00+00:00,14195.75,12941.776396822324,12488.416863325123,13395.135930319526
2025-03-04 18:00:00+00:00,14025.0,12896.970858990697,12443.611325493495,13350.330392487898
2025-03-04 19:00:00+00:00,13331.5,13109.700122612718,12656.340589115516,13563.059656109917
2025-03-04 20:00:00+00:00,12603.0,12903.066193244063,12449.706659746862,13356.425726741265
2025-03-04 21:00:00+00:00,11976.5,11718.736326541208,11265.376793044006,12172.09586003841
2025-03-04 22:00:00+00:00,11529.0,11141.215917867044,10687.856384369845,11594.575451364246
2025-03-04 23:00:00+00:00,11060.75,10855.702087067782,10402.342553570583,11309.061620564984
2025-03-05 00:00:00+00:00,10971.75,10673.453250897093,10220.093717399894,11126.812784394295
2025-03-05 01:00:00+00:00,10771.0,10651.2876781597,10197.928144662501,11104.647211656902
2025-03-05 02:00:00+00:00,10950.25,10712.228992643179,10258.869459145977,11165.58852614038
2025-03-05 03:00:00+00:00,11381.5,10975.678575756374,10522.319042259172,11429.038109253574
2025-03-05 04:00:00+00:00,12120.75,11401.32385228877,10947.964318791568,11854.683385785971
2025-03-05 05:00:00+00:00,13476.0,13252.64473019132,12799.285196694118,13706.004263688521
2025-03-05 06:00:00+00:00,14413.5,13559.694313149352,13106.334779652152,14013.053846646553
2025-03-05 07:00:00+00:00,14877.5,14396.628273482995,13943.268739985793,14849.987806980196
2025-03-05 08:00:00+00:00,14951.75,13930.921042679247,13477.561509182045,14384.280576176448
2025-03-05 09:00:00+00:00,14712.25,13936.175538742391,13482.816005245191,14389.535072239592
2025-03-05 10:00:00+00:00,14682.25,13218.483497406867,12765.123963909666,13671.843030904069
2025-03-05 11:00:00+00:00,14247.75,12821.08763454205,12367.728101044848,13274.44716803925
2025-03-05 12:00:00+00:00,13678.25,11984.951609980444,11531.592076483243,12438.311143477646
2025-03-05 13:00:00+00:00,13336.75,12178.169120297036,11724.809586799836,12631.528653794237
2025-03-05 14:00:00+00:00,14002.25,12201.488963955946,11748.129430458745,12654.848497453148
2025-03-05 15:00:00+00:00,13146.75,12567.332312160357,12113.972778663156,13020.691845657557
2025-03-05 16:00:00+00:00,13553.75,13400.195886469846,12946.836352972647,13853.555419967048
2025-03-05 17:00:00+00:00,14184.5,13766.622248057494,13313.262714560293,14219.981781554696
2025-03-05 18:00:00+00:00,14250.25,13735.931394592371,13282.57186109517,14189.290928089573
2025-03-05 19:00:00+00:00,13594.0,13426.890150684672,12973.53061718747,13880.249684181872
2025-03-05 20:00:00+00:00,12637.5,13053.566522494504,12600.206988997305,13506.926055991706
2025-03-05 21:00:00+00:00,12116.75,11939.193949067314,11485.834415570114,12392.553482564515
2025-03-05 22:00:00+00:00,11382.5,11364.426958479598,10911.067424982397,11817.7864919768
2025-03-05 23:00:00+00:00,11041.5,10976.245600178987,10522.886066681785,11429.605133676188
2025-03-06 00:00:00+00:00,10800.25,10678.223155350819,10224.863621853618,11131.58268884802
2025-03-06 01:00:00+00:00,10599.25,10690.203675777388,10236.844142280186,11143.56320927459
2025-03-06 02:00:00+00:00,10581.25,10750.37229726179,10297.01276376459,11203.731830758992
2025-03-06 03:00:00+00:00,11003.75,11129.026335695522,10675.66680219832,11582.385869192722
2025-03-06 04:00:00+00:00,11503.5,11844.74714363285,11391.387610135649,12298.10667713005
2025-03-06 05:00:00+00:00,12688.5,13444.100321617678,12990.740788120478,13897.45985511488
2025-03-06 06:00:00+00:00,13668.75,13991.627674476833,13538.268140979631,14444.987207974034
2025-03-06 07:00:00+00:00,14333.25,14478.721422633633,14025.361889136431,14932.080956130832
2025-03-06 08:00:00+00:00,14572.75,14430.227120516043,13976.867587018842,14883.586654013245
2025-03-06 09:00:00+00:00,14310.0,13725.343553439681,13271.984019942482,14178.703086936883
2025-03-06 10:00:00+00:00,14296.75,13231.193274048152,12777.833740550952,13684.552807545353
2025-03-06 11:00:00+00:00,13944.5,12732.41778894309,12279.05825544589,13185.777322440292
2025-03-06 12:00:00+00:00,13568.0,12366.44324484992,11913.08371135272,12819.80277834712
2025-03-06 13:00:00+00:00,13102.5,12435.35833001225,11981.998796515049,12888.71786350945
2025-03-06 14:00:00+00:00,12896.0,12432.055474678255,11978.695941181053,12885.415008175456
2025-03-06 15:00:00+00:00,12795.75,12509.979539654898,12056.620006157696,12963.339073152098
2025-03-06 16:00:00+00:00,13240.5,12849.719431283973,12396.359897786771,13303.078964781174
2025-03-06 17:00:00+00:00,13762.5,13209.489742635635,12756.130209138433,13662.849276132836
2025-03-06 18:00:00+00:00,13675.0,13588.081995514147,13134.722462016947,14041.441529011348
2025-03-06 19:00:00+00:00,12930.5,12999.946716740873,12546.587183243671,13453.306250238074
2025-03-06 20:00:00+00:00,12150.0,12013.441277981281,11560.081744484081,12466.800811478483
2025-03-06 21:00:00+00:00,11410.75,11126.535749740888,10673.176216243686,11579.89528323809
2025-03-06 22:00:00+00:00,10845.75,10505.320757955009,10051.961224457807,10958.680291452209
2025-03-06 23:00:00+00:00,10172.25,10045.719610956075,9592.360077458876,10499.079144453277
2025-03-07 00:00:00+00:00,9963.75,9889.494760250229,9436.135226753027,10342.85429374743
2025-03-07 01:00:00+00:00,9896.0,9708.32094645142,9254.961412954219,10161.68047994862
2025-03-07 02:00:00+00:00,9973.5,9964.98297028807,9511.62343679087,10418.342503785272
2025-03-07 03:00:00+00:00,10523.0,10238.595129259013,9785.235595761813,10691.954662756214
2025-03-07 04:00:00+00:00,11281.0,10857.574067621914,10404.214534124712,11310.933601119114
2025-03-07 05:00:00+00:00,12477.25,11877.956529963421,11424.59699646622,12331.316063460623
2025-03-07 06:00:00+00:00,13327.75,12772.584594614447,12319.225061117246,13225.944128111649
2025-03-07 07:00:00+00:00,14049.75,13234.146620975778,12780.787087478579,13687.50615447298
2025-03-07 08:00:00+00:00,14290.5,13220.961664837352,12767.60213134015,13674.321198334554
2025-03-07 09:00:00+00:00,14246.0,12988.310576921916,12534.951043424717,13441.670110419118
2025-03-07 10:00:00+00:00,14116.0,12369.652789902933,11916.293256405734,12823.012323400135
2025-03-07 11:00:00+00:00,13722.75,11821.473736120986,11368.114202623785,12274.833269618188
2025-03-07 12:00:00+00:00,13202.75,11223.25308134306,10769.893547845859,11676.612614840262
2025-03-07 13:00:00+00:00,12853.25,10989.515873509878,10536.156340012676,11442.875407007077
2025-03-07 14:00:00+00:00,12612.75,11102.592509349466,10649.232975852265,11555.952042846666
2025-03-07 15:00:00+00:00,12546.0,11376.623215489666,10923.263681992465,11829.982748986868
2025-03-07 16:00:00+00:00,12838.25,11951.520579425352,11498.161045928151,12404.880112922552
2025-03-07 17:00:00+00:00,13341.0,12137.666322985222,11684.30678948802,12591.025856482423
2025-03-07 18:00:00+00:00,13102.25,11919.060476237204,11465.700942740004,12372.420009734406
2025-03-07 19:00:00+00:00,12207.5,11180.671854921246,10727.312321424044,11634.031388418447
2025-03-07 20:00:00+00:00,11357.5,10781.814762147824,10328.455228650624,11235.174295645025
2025-03-07 21:00:00+00:00,10685.0,10207.36540596625,9754.00587246905,10660.724939463451
2025-03-07 22:00:00+00:00,10127.25,9752.236366088218,9298.876832591019,10205.59589958542
2025-03-07 23:00:00+00:00,9739.25,9560.942895658263,9107.583362161064,10014.302429155465
2025-03-08 00:00:00+00:00,9424.75,9051.989388098395,8598.629854601193,9505.348921595596
2025-03-08 01:00:00+00:00,9243.75,9138.32431836049,8684.964784863289,9591.68385185769
