date,load_ampr_actual,load_ampr_fitted,load_ampr_lower,load_ampr_upper
2025-05-30 00:00:00+00:00,13188.25,13453.276810658572,12517.641057558307,14387.792346959894
2025-05-30 01:00:00+00:00,13192.5,13697.53166092651,12762.919540083214,14633.290531792269
2025-05-30 02:00:00+00:00,13685.5,14200.018661108621,13266.394059767474,15136.775213395846
2025-05-30 03:00:00+00:00,14417.5,14997.617830548345,14063.838915871274,15933.147220284645
2025-05-30 04:00:00+00:00,16076.25,16173.864556938062,15238.949339013743,17109.530173615727
2025-05-30 05:00:00+00:00,17279.25,17370.032407659644,16436.897412978422,18305.49716816413
2025-05-30 06:00:00+00:00,18636.75,18247.890061417194,17313.66204207035,19183.17867263275
2025-05-30 07:00:00+00:00,19114.25,18728.469549065027,17793.904452383944,19661.796241299795
2025-05-30 08:00:00+00:00,19373.0,18827.276261978725,17888.83087142245,19763.509050999233
2025-05-30 09:00:00+00:00,19565.5,18539.015000298943,17602.6761260883,19475.62942133247
2025-05-30 10:00:00+00:00,19703.75,18251.16715109294,17316.09596974464,19186.898203104796
2025-05-30 11:00:00+00:00,18874.75,17995.558405707503,17060.201347504197,18930.41972530515
2025-05-30 12:00:00+00:00,18249.75,17660.779798269265,16724.870340315876,18598.480779224188
2025-05-30 13:00:00+00:00,18144.5,17420.060882907997,16484.49467462751,18356.03143819865
2025-05-30 14:00:00+00:00,18253.75,17347.147943295822,16412.900668851726,18282.237201806616
2025-05-30 15:00:00+00:00,18515.75,17442.830010968082,16509.66739801379,18379.052774473003
2025-05-30 16:00:00+00:00,18343.0,17645.856195126882,16710.92319089348,18579.8060857577
2025-05-30 17:00:00+00:00,18912.0,17813.07562325231,16879.32212508872,18748.586678314077
2025-05-30 18:00:00+00:00,18153.0,17770.346105727844,16836.32008454929,18705.20209167161
2025-05-30 19:00:00+00:00,17508.25,17443.07718585419,16507.72555568182,18379.329530764135
2025-05-30 20:00:00+00:00,16930.75,16799.052918154644,15865.66285988555,17734.233539182685
2025-05-30 21:00:00+00:00,15748.25,15990.322778529857,15057.842946772618,16926.3164312063
2025-05-30 22:00:00+00:00,14752.5,15205.080137428837,14271.719367370335,16140.673687569884
2025-05-30 23:00:00+00:00,14095.75,14568.035279522941,13632.7266626774,15502.75910160681
2025-05-31 00:00:00+00:00,13585.25,13895.25549765928,12961.351467512915,14833.179687524887
2025-05-31 01:00:00+00:00,13558.5,13468.931078470001,12535.169140719201,14402.06577847761
2025-05-31 02:00:00+00:00,13669.75,13473.691722732485,12538.944056246679,14409.014455252687
2025-05-31 03:00:00+00:00,13628.75,13920.775280295256,12985.515428643404,14856.160145361324
2025-05-31 04:00:00+00:00,14070.5,14666.883133903804,13732.164841311747,15603.590431793684
2025-05-31 05:00:00+00:00,15050.0,15410.859213382231,14476.402623476815,16345.383302045331
2025-05-31 06:00:00+00:00,16072.25,15986.367998114521,15051.773056533124,16919.92732703864
2025-05-31 07:00:00+00:00,16629.25,16257.73114199696,15323.996807288802,17191.551935542644
2025-05-31 08:00:00+00:00,16844.0,16250.252459422583,15316.826317211233,17184.679187385234
2025-05-31 09:00:00+00:00,17066.75,16054.740588476068,15118.68018483065,16989.14809787913
2025-05-31 10:00:00+00:00,16880.0,15692.418406497773,14754.774409487056,16630.371272832024
2025-05-31 11:00:00+00:00,16843.5,15293.504633265564,14358.387415843497,16229.787683540691
