date,load_ampr_actual,load_ampr_fitted,load_ampr_lower,load_ampr_upper
2025-07-08 00:00:00+00:00,15936.5,16041.215502267856,15223.177106586989,16859.25389794872
2025-07-08 01:00:00+00:00,15899.75,16017.774992360197,15199.73659667933,16835.813388041064
2025-07-08 02:00:00+00:00,16109.5,16681.138469205438,15863.100073524569,17499.176864886304
2025-07-08 03:00:00+00:00,16951.75,17462.079462242815,16644.04106656195,18280.11785792368
2025-07-08 04:00:00+00:00,18824.75,19472.442120703952,18654.403725023087,20290.480516384818
2025-07-08 05:00:00+00:00,20396.0,21124.377761974894,20306.339366294025,21942.41615765576
2025-07-08 06:00:00+00:00,20934.25,22194.88021020102,21376.84181452015,23012.918605881885
2025-07-08 07:00:00+00:00,21405.25,22384.824501751435,21566.78610607057,23202.862897432304
2025-07-08 08:00:00+00:00,21460.0,22387.153288946072,21569.114893265207,23205.19168462694
2025-07-08 09:00:00+00:00,21055.25,22253.95429765847,21435.915901977605,23071.992693339336
2025-07-08 10:00:00+00:00,21119.5,22077.678414193924,21259.640018513055,22895.71680987479
2025-07-08 11:00:00+00:00,21039.5,21900.133296267053,21082.094900586184,22718.17169194792
2025-07-08 12:00:00+00:00,20767.75,21186.64562912556,20368.607233444694,22004.68402480643
2025-07-08 13:00:00+00:00,20488.75,20867.771823964384,20049.733428283518,21685.81021964525
2025-07-08 14:00:00+00:00,19889.25,20818.076295660903,20000.037899980034,21636.11469134177
2025-07-08 15:00:00+00:00,20447.5,20893.8354414022,20075.79704572133,21711.873837083065
2025-07-08 16:00:00+00:00,20679.75,20804.95690690811,19986.918511227243,21622.995302588977
2025-07-08 17:00:00+00:00,20432.25,20715.75853508267,19897.7201394018,21533.796930763536
2025-07-08 18:00:00+00:00,20052.25,19884.553553270183,19066.515157589318,20702.591948951052
2025-07-08 19:00:00+00:00,18795.0,18764.333370657278,17946.294974976412,19582.371766338147
2025-07-08 20:00:00+00:00,18556.5,18189.93746865316,17371.899072972294,19007.97586433403
2025-07-08 21:00:00+00:00,17368.25,16632.77156777785,15814.733172096983,17450.809963458716
2025-07-08 22:00:00+00:00,16639.0,16035.172816140119,15217.134420459251,16853.211211820984
2025-07-08 23:00:00+00:00,15985.0,15396.53757785778,14578.499182176913,16214.575973538647
2025-07-09 00:00:00+00:00,15144.25,15177.04314526795,14359.004749587082,15995.081540948817
2025-07-09 01:00:00+00:00,15009.0,15016.924800704035,14198.886405023168,15834.963196384902
2025-07-09 02:00:00+00:00,15275.0,15234.215362813078,14416.17696713221,16052.253758493945
