date,load_tenn_actual,load_tenn_fitted,load_tenn_lower,load_tenn_upper
2025-04-05 00:00:00+00:00,,11017.39288526444,10381.106656701959,11647.739061363412
2025-04-05 01:00:00+00:00,,10932.716493760769,10300.583285324188,11564.687729563793
2025-04-05 02:00:00+00:00,,11346.243955738868,10713.934909715968,11979.573757930986
2025-04-05 03:00:00+00:00,,12374.085668072856,11742.540323934838,13005.390523825105
2025-04-05 04:00:00+00:00,,13656.80744291112,13022.024781779968,14285.853537453631
2025-04-05 05:00:00+00:00,,14800.367570803171,14164.65100591732,15430.902038061367
2025-04-05 06:00:00+00:00,,15562.54881967112,14927.933497773058,16192.498289095878
2025-04-05 07:00:00+00:00,,15926.561908026653,15292.401371950646,16556.62017107168
2025-04-05 08:00:00+00:00,,15990.992101304064,15356.055749116365,16622.331615152587
2025-04-05 09:00:00+00:00,,15779.69421304421,15145.125398140715,16410.786083016807
2025-04-05 10:00:00+00:00,,15446.773406422664,14811.037839471112,16076.016942918917
2025-04-05 11:00:00+00:00,,15163.774432162072,14527.935180602293,15795.007479239732
2025-04-05 12:00:00+00:00,,14983.546302389626,14349.27754748091,15613.61306741444
2025-04-05 13:00:00+00:00,,14889.369277933174,14254.261839036728,15520.001092748296
2025-04-05 14:00:00+00:00,,14961.703747746318,14325.922579026112,15593.4982118888
2025-04-05 15:00:00+00:00,,15194.229716443804,14559.011317442508,15824.718438613521
2025-04-05 16:00:00+00:00,,15507.51764283769,14869.729752302228,16138.319146202053
2025-04-05 17:00:00+00:00,,15532.775844793201,14896.86086957491,16164.291642293412
2025-04-05 18:00:00+00:00,,15140.228343060418,14503.507705859907,15771.610272777483
2025-04-05 19:00:00+00:00,,14383.010233534123,13746.249430287771,15014.181250888807
2025-04-05 20:00:00+00:00,,13424.71008725392,12787.687882620572,14054.957988321908
2025-04-05 21:00:00+00:00,,12481.362370170813,11844.846379095437,13112.142663919847
2025-04-05 22:00:00+00:00,,11711.112375128294,11075.17465043128,12342.891103936674
2025-04-05 23:00:00+00:00,,11284.95023515388,10648.785713946732,11915.545634986702
2025-04-06 00:00:00+00:00,,11014.990670118183,10379.241732931436,11646.420063239304
2025-04-06 01:00:00+00:00,,10977.031404552032,10341.3732117086,11608.151068570758
2025-04-06 02:00:00+00:00,,11316.077901856846,10681.097677503429,11946.726833256489
2025-04-06 03:00:00+00:00,,12078.214888889986,11442.43917974253,12709.021844483923
2025-04-06 04:00:00+00:00,,13134.242096050957,12496.639300363442,13764.742844267343
2025-04-06 05:00:00+00:00,,14240.40357023703,13603.029594707039,14871.661939252013
2025-04-06 06:00:00+00:00,,15136.71829393045,14500.16281432837,15767.370089805603
2025-04-06 07:00:00+00:00,,15658.839591593753,15023.866742566208,16288.940496306339
2025-04-06 08:00:00+00:00,,15838.024603322867,15201.530747741459,16469.952040372453
2025-04-06 09:00:00+00:00,,15855.55217872101,15219.581110992383,16485.313814229143
2025-04-06 10:00:00+00:00,,15867.428676919037,15230.14672350158,16499.313628956792
2025-04-06 11:00:00+00:00,,15834.692829452153,15197.485550869935,16466.445615002525
2025-04-06 12:00:00+00:00,,15728.31077272619,15090.483134960365,16359.950445146484
2025-04-06 13:00:00+00:00,,15579.824060675774,14939.947796912093,16211.999202493493
2025-04-06 14:00:00+00:00,,15469.394539454577,14830.84495037865,16101.170319913124
2025-04-06 15:00:00+00:00,,15471.644250367322,14833.788182795373,16103.304854025775
2025-04-06 16:00:00+00:00,,15528.027394135639,14889.900818626958,16159.990446736098
2025-04-06 17:00:00+00:00,,15516.696294620757,14876.725550540727,16149.702900564318
2025-04-06 18:00:00+00:00,,15213.532814454049,14573.543896900846,15846.285242935728
2025-04-06 19:00:00+00:00,,14598.861712444186,13959.891295732026,15231.174863249547
2025-04-06 20:00:00+00:00,,13783.741361344699,13145.37871048747,14416.169117664904
2025-04-06 21:00:00+00:00,,12970.823401259247,12332.491008426136,13602.091581103212
2025-04-06 22:00:00+00:00,,12293.296687776314,11657.232055638739,12923.710707909086
2025-04-06 23:00:00+00:00,,11882.555837549156,11245.492480632494,12513.88242382264
2025-04-07 00:00:00+00:00,,11752.183326294264,11117.273866637901,12382.733148502208
2025-04-07 01:00:00+00:00,,11992.407339391802,11358.40718327263,12621.886275372079
2025-04-07 02:00:00+00:00,,12647.23399714552,12012.930305870603,13277.461438902661
2025-04-07 03:00:00+00:00,,13659.335958956844,13025.320766274088,14290.363334209813
2025-04-07 04:00:00+00:00,,14895.196058091835,14261.541802184942,15525.711758825324
2025-04-07 05:00:00+00:00,,16175.076159288572,15542.344782460596,16805.29072827193
2025-04-07 06:00:00+00:00,,17239.58411542592,16605.40207137261,17870.984163805122
2025-04-07 07:00:00+00:00,,17864.138332736602,17230.722418700498,18494.65167407864
2025-04-07 08:00:00+00:00,,18067.72790054996,17434.125263031987,18699.554269108852
2025-04-07 09:00:00+00:00,,18019.960895457363,17386.63649062569,18651.419572678904
2025-04-07 10:00:00+00:00,,17931.417553707954,17296.71622266792,18562.42509257262
2025-04-07 11:00:00+00:00,,17868.840383090894,17233.58704708358,18499.359521072245
2025-04-07 12:00:00+00:00,,17815.922427762893,17181.501979359226,18446.26582417697
2025-04-07 13:00:00+00:00,,17744.060959460086,17109.82347637153,18375.124294061396
2025-04-07 14:00:00+00:00,,17748.764366353036,17114.65424884468,18381.144713000132
2025-04-07 15:00:00+00:00,,17830.073002532816,17197.287412829482,18461.622279769963
2025-04-07 16:00:00+00:00,,17899.70112752108,17267.0017082904,18532.51895351455
2025-04-07 17:00:00+00:00,,17836.306070640076,17202.29854294973,18468.720686996247
2025-04-07 18:00:00+00:00,,17499.561167021908,16864.99940410682,18130.309814855438
2025-04-07 19:00:00+00:00,,16828.171443737938,16192.702394698048,17459.788407107848
2025-04-07 20:00:00+00:00,,15941.225440145376,15307.435350666261,16572.419249945666
2025-04-07 21:00:00+00:00,,15058.097339632448,14424.547215947427,15689.791222149812
2025-04-07 22:00:00+00:00,,14379.164919229082,13746.713846611498,15010.966160825015
2025-04-07 23:00:00+00:00,,14046.31899798501,13413.534557723111,14678.671784037493
2025-04-08 00:00:00+00:00,,13818.095253500365,13183.036466457306,14448.314810993339
2025-04-08 01:00:00+00:00,,13791.828296028907,13156.635271190997,14423.007226598625
2025-04-08 02:00:00+00:00,,14126.865891245172,13493.124530175284,14758.607311097714
2025-04-08 03:00:00+00:00,,14864.289066307967,14229.302064426984,15495.113604960648
2025-04-08 04:00:00+00:00,,15877.622789677438,15242.963438254756,16508.02260007383
2025-04-08 05:00:00+00:00,,16972.77200278522,16337.44498677822,17602.971836879362
2025-04-08 06:00:00+00:00,,17934.20901753862,17299.994462046267,18564.69036606087
2025-04-08 07:00:00+00:00,,18547.102132499374,17913.71383176012,19176.973656212984
2025-04-08 08:00:00+00:00,,18861.67415882094,18227.390529184624,19493.606013995734
2025-04-08 09:00:00+00:00,,18978.153014275762,18345.41860084952,19608.524228355767
2025-04-08 10:00:00+00:00,,18994.33457933552,18359.848040195688,19625.516187578818
2025-04-08 11:00:00+00:00,,18951.56346439322,18316.452009945344,19581.506303934242
2025-04-08 12:00:00+00:00,,18839.135681245945,18204.966875205115,19469.949283419766
2025-04-08 13:00:00+00:00,,18683.655002339055,18048.889498754157,19315.35620978339
2025-04-08 14:00:00+00:00,,18514.565568311165,17879.89460004054,19146.865521796622
2025-04-08 15:00:00+00:00,,18361.957998872127,17728.39689188648,18994.06446341292
2025-04-08 16:00:00+00:00,,18228.763686598784,17593.52420731203,18860.690521189597
2025-04-08 17:00:00+00:00,,18012.09618938811,17377.94787272082,18643.587659763118
2025-04-08 18:00:00+00:00,,17571.257603231912,16937.54416898582,18202.158760594408
2025-04-08 19:00:00+00:00,,16902.93338982482,16267.687497063343,17533.77144775003
2025-04-08 20:00:00+00:00,,16136.25113667349,15500.29497079679,16767.66827579868
2025-04-08 21:00:00+00:00,,15417.516620374718,14782.019133773785,16047.066393552259
2025-04-08 22:00:00+00:00,,14865.401094191468,14230.85467530828,15494.508950579788
