date,load_tenn_actual,load_tenn_fitted,load_tenn_lower,load_tenn_upper
2025-11-28 00:00:00+00:00,15010.807999999999,15060.949072100597,14425.884405748004,15692.343054359719
2025-11-28 01:00:00+00:00,14485.00775,14817.171933067728,14184.177623860041,15448.92188867859
2025-11-28 02:00:00+00:00,14531.6425,15000.662800672311,14366.627825468673,15631.298965297665
2025-11-28 03:00:00+00:00,14740.61975,15638.950231386496,15004.718638997285,16272.181147602712
2025-11-28 04:00:00+00:00,15850.913,16548.9516302726,15915.236710038856,17180.219689808982
2025-11-28 05:00:00+00:00,18265.027000000002,17492.28844880845,16856.612814300282,18122.78340766524
2025-11-28 06:00:00+00:00,19949.48225,18407.10350284509,17772.062409259655,19039.150933339566
2025-11-28 07:00:00+00:00,20827.446750000003,19216.756476404822,18581.153195724648,19846.70434105854
2025-11-28 08:00:00+00:00,20905.0815,19907.892708929183,19273.20387531816,20539.222193074558
2025-11-28 09:00:00+00:00,21153.64975,20332.691444802513,19698.213511007427,20963.391577976916
2025-11-28 10:00:00+00:00,21311.89175,20548.63005722674,19914.392239941313,21180.489948142804
2025-11-28 11:00:00+00:00,20940.20575,20636.93854612563,20002.233305062808,21267.60154508201
2025-11-28 12:00:00+00:00,20368.073,20690.814982266784,20055.79902015461,21320.842640163246
2025-11-28 13:00:00+00:00,19743.7115,20684.85609328039,20050.12114597626,21317.09035117206
2025-11-28 14:00:00+00:00,19603.172,20645.33356696373,20011.27894078166,21276.496827478426
2025-11-28 15:00:00+00:00,19977.5545,20513.98782937963,19879.7432647678,21144.654692211494
2025-11-28 16:00:00+00:00,20374.7525,20169.232716710747,19534.861422322556,20801.154836372923
2025-11-28 17:00:00+00:00,20068.8465,19602.456019086087,18968.22666993389,20232.659026185807
2025-11-28 18:00:00+00:00,19314.64125,18826.480733115302,18193.616976595204,19458.486608217932
2025-11-28 19:00:00+00:00,18272.19125,17968.245406368333,17334.825286038405,18599.389837868675
2025-11-28 20:00:00+00:00,17286.86525,17118.00867673004,16482.18228898913,17749.849130281953
2025-11-28 21:00:00+00:00,16617.93375,16326.490881662636,15691.959392686857,16957.047920503242
2025-11-28 22:00:00+00:00,15254.35625,15715.672406622842,15080.732944799516,16345.338802166045
2025-11-28 23:00:00+00:00,14443.06025,15380.843867458436,14746.863938119448,16011.731444900026
2025-11-29 00:00:00+00:00,13687.06975,14827.429111843776,14191.704632642655,15458.48641707582
2025-11-29 01:00:00+00:00,12956.14025,14223.3639126323,13588.468579319238,14854.274249554768
2025-11-29 02:00:00+00:00,12588.75775,13856.603608088093,13221.701567072467,14489.275278652454
2025-11-29 03:00:00+00:00,12644.62625,13906.562791242566,13271.878514794262,14539.722863738516
2025-11-29 04:00:00+00:00,12991.647,14331.886807834018,13698.015974924283,14964.924170605755
2025-11-29 05:00:00+00:00,13622.2515,14970.887548265146,14336.86544645661,15603.391054866106
2025-11-29 06:00:00+00:00,14708.2305,15741.741791703607,15109.27522604026,16372.101928739517
2025-11-29 07:00:00+00:00,15979.543249999999,16606.54841460835,15973.3713858746,17237.95079339339
2025-11-29 08:00:00+00:00,16707.37675,17443.62071296812,16811.445675012656,18076.1680758369
2025-11-29 09:00:00+00:00,17057.796,18090.065620525642,17458.71034438893,18722.571484983815
2025-11-29 10:00:00+00:00,17530.879,18482.821100367684,17851.26716253004,19116.435162121707
2025-11-29 11:00:00+00:00,17407.872499999998,18554.336528354277,17923.22140244906,19187.76126654203
2025-11-29 12:00:00+00:00,17106.59275,18350.79900157752,17719.137284445424,18984.568096100593
2025-11-29 13:00:00+00:00,16724.64675,17967.417318223692,17336.044449093202,18600.827531146417
2025-11-29 14:00:00+00:00,16619.64075,17554.759957141792,16922.323093493935,18186.761008121128
