date,load_tenn_actual,load_tenn_fitted,load_tenn_lower,load_tenn_upper
2025-08-05 00:00:00+00:00,,12428.909572368044,12103.162770299392,12754.656374436696
2025-08-05 01:00:00+00:00,,12502.036889926272,12176.29008785762,12827.783691994924
2025-08-05 02:00:00+00:00,,12801.612788999304,12475.865986930654,13127.359591067958
2025-08-05 03:00:00+00:00,,13371.779013777304,13046.032211708654,13697.525815845956
2025-08-05 04:00:00+00:00,,15312.917989758269,14987.171187689617,15638.664791826921
2025-08-05 05:00:00+00:00,,16887.883262574465,16562.13646050581,17213.630064643115
2025-08-05 06:00:00+00:00,,17905.79629562754,17580.04949355889,18231.543097696194
2025-08-05 07:00:00+00:00,,18258.162508920548,17932.415706851898,18583.909310989202
2025-08-05 08:00:00+00:00,,18446.856208807854,18121.109406739204,18772.603010876508
2025-08-05 09:00:00+00:00,,18545.584885296103,18219.838083227452,18871.331687364756
2025-08-05 10:00:00+00:00,,18377.25453712749,18051.50773505884,18703.001339196144
2025-08-05 11:00:00+00:00,,18077.40117769324,17751.65437562459,18403.14797976189
2025-08-05 12:00:00+00:00,,17688.980256647814,17363.23345457916,18014.727058716464
2025-08-05 13:00:00+00:00,,17443.417300984147,17117.670498915493,17769.164103052797
2025-08-05 14:00:00+00:00,,17200.95703284162,16875.210230772966,17526.70383491027
2025-08-05 15:00:00+00:00,,17188.309008582226,16862.562206513576,17514.05581065088
2025-08-05 16:00:00+00:00,,17285.654111303953,16959.907309235303,17611.400913372607
2025-08-05 17:00:00+00:00,,17105.142409962646,16779.395607893995,17430.8892120313
2025-08-05 18:00:00+00:00,,16569.958549648825,16244.211747580173,16895.705351717475
2025-08-05 19:00:00+00:00,,15851.75663041625,15526.009828347598,16177.503432484902
2025-08-05 20:00:00+00:00,,15166.111735175244,14840.364933106592,15491.858537243896
2025-08-05 21:00:00+00:00,,14153.962752431771,13828.21595036312,14479.709554500423
2025-08-05 22:00:00+00:00,,13346.46005468548,13020.713252616828,13672.206856754132
2025-08-05 23:00:00+00:00,,12995.53628294224,12669.789480873587,13321.283085010891
2025-08-06 00:00:00+00:00,,12807.830101598325,12482.083299529673,13133.576903666977
2025-08-06 01:00:00+00:00,,12955.555989606246,12629.809187537594,13281.302791674898
2025-08-06 02:00:00+00:00,,13185.542711869235,12859.795909800583,13511.289513937887
2025-08-06 03:00:00+00:00,,14071.358695037336,13745.611892968684,14397.105497105988
2025-08-06 04:00:00+00:00,,15939.743404976096,15613.996602907444,16265.490207044746
2025-08-06 05:00:00+00:00,,17367.71150595256,17041.96470388391,17693.458308021214
2025-08-06 06:00:00+00:00,,18263.32162360858,17937.57482153993,18589.06842567723
2025-08-06 07:00:00+00:00,,18553.23426694165,18227.487464872996,18878.9810690103
2025-08-06 08:00:00+00:00,,18794.901977973852,18469.1551759052,19120.648780042506
2025-08-06 09:00:00+00:00,,18930.468630218096,18604.721828149442,19256.215432286746
2025-08-06 10:00:00+00:00,,18645.44844768923,18319.701645620575,18971.19524975788
2025-08-06 11:00:00+00:00,,18304.98498954851,17979.23818747986,18630.731791617163
2025-08-06 12:00:00+00:00,,17886.011141955878,17560.264339887224,18211.757944024528
2025-08-06 13:00:00+00:00,,17555.75193165279,17230.005129584137,17881.49873372144
2025-08-06 14:00:00+00:00,,17260.48930799996,16934.742505931306,17586.23611006861
2025-08-06 15:00:00+00:00,,17155.418514983492,16829.671712914842,17481.165317052146
2025-08-06 16:00:00+00:00,,17168.19288165414,16842.44607958549,17493.93968372279
2025-08-06 17:00:00+00:00,,16992.74768163743,16667.000879568775,17318.49448370608
2025-08-06 18:00:00+00:00,,16484.875422873807,16159.128620805155,16810.622224942457
2025-08-06 19:00:00+00:00,,15731.064807186196,15405.318005117544,16056.811609254848
2025-08-06 20:00:00+00:00,,14993.366317399968,14667.619515331317,15319.11311946862
2025-08-06 21:00:00+00:00,,14035.147335222728,13709.400533154076,14360.89413729138
2025-08-06 22:00:00+00:00,,13258.955888721084,12933.209086652432,13584.702690789734
2025-08-06 23:00:00+00:00,,12963.679716120056,12637.932914051402,13289.426518188706
2025-08-07 00:00:00+00:00,,12925.597277777866,12599.850475709212,13251.344079846516
2025-08-07 01:00:00+00:00,,13098.867451103697,12773.120649035045,13424.614253172349
2025-08-07 02:00:00+00:00,,13325.972850027752,13000.2260479591,13651.719652096404
2025-08-07 03:00:00+00:00,,14106.542213148683,13780.795411080031,14432.289015217335
2025-08-07 04:00:00+00:00,,16014.51353888511,15688.766736816458,16340.260340953762
2025-08-07 05:00:00+00:00,,17386.994312467654,17061.247510399,17712.741114536304
2025-08-07 06:00:00+00:00,,18226.306436829866,17900.559634761215,18552.05323889852
2025-08-07 07:00:00+00:00,,18449.246085647166,18123.499283578516,18774.99288771582
2025-08-07 08:00:00+00:00,,18544.142274820413,18218.395472751763,18869.889076889067
2025-08-07 09:00:00+00:00,,18751.12961356413,18425.38281149548,19076.876415632785
2025-08-07 10:00:00+00:00,,18522.81214190571,18197.06533983706,18848.558943974364
2025-08-07 11:00:00+00:00,,18290.61917305814,17964.872370989488,18616.36597512679
2025-08-07 12:00:00+00:00,,17953.407620444603,17627.66081837595,18279.154422513253
2025-08-07 13:00:00+00:00,,17686.35951588315,17360.612713814495,18012.1063179518
2025-08-07 14:00:00+00:00,,17425.030358227184,17099.28355615853,17750.777160295835
2025-08-07 15:00:00+00:00,,17387.44188125866,17061.69507919001,17713.188683327313
2025-08-07 16:00:00+00:00,,17435.468232705956,17109.721430637306,17761.21503477461
2025-08-07 17:00:00+00:00,,17345.41490009475,17019.6680980261,17671.161702163405
2025-08-07 18:00:00+00:00,,16801.63050694917,16475.883704880518,17127.377309017822
2025-08-07 19:00:00+00:00,,16102.230688366391,15776.48388629774,16427.977490435045
2025-08-07 20:00:00+00:00,,15141.111011666659,14815.364209598007,15466.85781373531
2025-08-07 21:00:00+00:00,,14146.019235130389,13820.272433061738,14471.766037199042
2025-08-07 22:00:00+00:00,,13354.82637634891,13029.079574280258,13680.573178417562
2025-08-07 23:00:00+00:00,,12954.321102677026,12628.574300608376,13280.06790474568
2025-08-08 00:00:00+00:00,,12716.500023180293,12390.753221111641,13042.246825248945
2025-08-08 01:00:00+00:00,,12896.386246560467,12570.639444491815,13222.133048629119
2025-08-08 02:00:00+00:00,,13162.060400965667,12836.313598897017,13487.807203034321
2025-08-08 03:00:00+00:00,,13954.252948026075,13628.506145957423,14279.999750094727
2025-08-08 04:00:00+00:00,,15819.073545974172,15493.32674390552,16144.820348042824
2025-08-08 05:00:00+00:00,,17189.722266617297,16863.975464548646,17515.46906868595
2025-08-08 06:00:00+00:00,,17975.8829099829,17650.136107914248,18301.629712051552
2025-08-08 07:00:00+00:00,,18223.250010112835,17897.50320804418,18548.996812181485
2025-08-08 08:00:00+00:00,,18407.742008125748,18081.995206057098,18733.4888101944
2025-08-08 09:00:00+00:00,,18484.481880330433,18158.73507826178,18810.228682399087
2025-08-08 10:00:00+00:00,,18224.82928130722,17899.08247923857,18550.576083375872
2025-08-08 11:00:00+00:00,,17891.233271733017,17565.486469664367,18216.98007380167
2025-08-08 12:00:00+00:00,,17444.33459675438,17118.58779468573,17770.081398823033
2025-08-08 13:00:00+00:00,,17100.210335414286,16774.46353334563,17425.957137482936
2025-08-08 14:00:00+00:00,,16747.996820971348,16422.250018902694,17073.743623039998
2025-08-08 15:00:00+00:00,,16598.351118478236,16272.604316409583,16924.097920546887
2025-08-08 16:00:00+00:00,,16528.82698307168,16203.08018100303,16854.573785140332
2025-08-08 17:00:00+00:00,,16458.72852710266,16132.98172503401,16784.475329171313
2025-08-08 18:00:00+00:00,,15876.642279298536,15550.895477229884,16202.389081367188
2025-08-08 19:00:00+00:00,,15296.936683238739,14971.189881170087,15622.68348530739
2025-08-08 20:00:00+00:00,,14378.055677991058,14052.308875922405,14703.802480059709
2025-08-08 21:00:00+00:00,,13424.756058184626,13099.009256115976,13750.502860253278
2025-08-08 22:00:00+00:00,,12630.98104538806,12305.234243319408,12956.727847456712
2025-08-08 23:00:00+00:00,,12102.264211726013,11776.517409657361,12428.011013794665
2025-08-09 00:00:00+00:00,,11988.398832748326,11662.652030679674,12314.145634816978
2025-08-09 01:00:00+00:00,,11960.922691279307,11635.175889210655,12286.66949334796
2025-08-09 02:00:00+00:00,,12059.681200387276,11733.934398318625,12385.428002455928
2025-08-09 03:00:00+00:00,,12451.436336017123,12125.689533948469,12777.183138085773
2025-08-09 04:00:00+00:00,,13063.223480529174,12737.476678460524,13388.970282597827
2025-08-09 05:00:00+00:00,,13787.923597136618,13462.176795067968,14113.670399205272
2025-08-09 06:00:00+00:00,,14682.728937481239,14356.982135412587,15008.475739549891
2025-08-09 07:00:00+00:00,,15384.21248025937,15058.465678190718,15709.959282328022
2025-08-09 08:00:00+00:00,,15805.1926012084,15479.445799139748,16130.939403277052
2025-08-09 09:00:00+00:00,,15835.867399480774,15510.120597412122,16161.614201549426
2025-08-09 10:00:00+00:00,,15559.056381337843,15233.309579269191,15884.803183406495
2025-08-09 11:00:00+00:00,,15100.690609265082,14774.94380719643,15426.437411333734
2025-08-09 12:00:00+00:00,,14706.918650655536,14381.171848586884,15032.665452724188
2025-08-09 13:00:00+00:00,,14459.264305578767,14133.517503510115,14785.011107647419
2025-08-09 14:00:00+00:00,,14302.57606680471,13976.829264736058,14628.322868873362
2025-08-09 15:00:00+00:00,,14315.133544515564,13989.386742446912,14640.880346584216
2025-08-09 16:00:00+00:00,,14366.826446695208,14041.079644626556,14692.57324876386
2025-08-09 17:00:00+00:00,,14276.244809245693,13950.49800717704,14601.991611314344
2025-08-09 18:00:00+00:00,,13989.160143447954,13663.413341379302,14314.906945516606
2025-08-09 19:00:00+00:00,,13626.793073130812,13301.046271062161,13952.539875199465
2025-08-09 20:00:00+00:00,,12931.652335239276,12605.905533170624,13257.399137307928
2025-08-09 21:00:00+00:00,,12420.297821817132,12094.55101974848,12746.044623885784
2025-08-09 22:00:00+00:00,,11885.037668304523,11559.290866235871,12210.784470373175
2025-08-09 23:00:00+00:00,,11610.320708583626,11284.573906514976,11936.06751065228
2025-08-10 00:00:00+00:00,,11510.146370915045,11184.399568846395,11835.893172983697
2025-08-10 01:00:00+00:00,,11337.980611467932,11012.23380939928,11663.727413536584
2025-08-10 02:00:00+00:00,,11402.522817519814,11076.776015451163,11728.269619588467
2025-08-10 03:00:00+00:00,,11806.985836969116,11481.239034900464,12132.732639037768
2025-08-10 04:00:00+00:00,,12512.059807032707,12186.313004964057,12837.80660910136
2025-08-10 05:00:00+00:00,,13401.569567240662,13075.82276517201,13727.316369309314
2025-08-10 06:00:00+00:00,,14318.654716783542,13992.90791471489,14644.401518852193
2025-08-10 07:00:00+00:00,,15112.323864176324,14786.577062107672,15438.070666244976
2025-08-10 08:00:00+00:00,,15676.703860883796,15350.957058815144,16002.450662952448
2025-08-10 09:00:00+00:00,,15794.282204225212,15468.53540215656,16120.029006293864
2025-08-10 10:00:00+00:00,,15540.428491090259,15214.681689021607,15866.17529315891
2025-08-10 11:00:00+00:00,,15099.965120839814,14774.218318771162,15425.711922908466
2025-08-10 12:00:00+00:00,,14738.124257174763,14412.37745510611,15063.871059243414
2025-08-10 13:00:00+00:00,,14468.47662667742,14142.729824608768,14794.22342874607
2025-08-10 14:00:00+00:00,,14341.104220548259,14015.357418479609,14666.851022616913
2025-08-10 15:00:00+00:00,,14297.557064965584,13971.810262896932,14623.303867034236
2025-08-10 16:00:00+00:00,,14415.624740280095,14089.877938211443,14741.371542348747
2025-08-10 17:00:00+00:00,,14404.20505551278,14078.458253444129,14729.951857581433
2025-08-10 18:00:00+00:00,,14137.916934735138,13812.170132666486,14463.66373680379
2025-08-10 19:00:00+00:00,,13802.370251705528,13476.623449636878,14128.117053774182
2025-08-10 20:00:00+00:00,,13304.33100568823,12978.584203619577,13630.077807756881
2025-08-10 21:00:00+00:00,,12753.786561786379,12428.039759717727,13079.533363855031
2025-08-10 22:00:00+00:00,,12440.992901085523,12115.246099016873,12766.739703154177
2025-08-10 23:00:00+00:00,,12239.531335683198,11913.784533614546,12565.27813775185
2025-08-11 00:00:00+00:00,,12061.74757096087,11736.00076889222,12387.494373029524
2025-08-11 01:00:00+00:00,,12078.847307301472,11753.10050523282,12404.594109370124
2025-08-11 02:00:00+00:00,,12473.429311900962,12147.68250983231,12799.176113969614
2025-08-11 03:00:00+00:00,,13686.040282701832,13360.29348063318,14011.787084770483
2025-08-11 04:00:00+00:00,,15740.776139116846,15415.029337048194,16066.522941185498
2025-08-11 05:00:00+00:00,,17194.46361357536,16868.716811506707,17520.21041564401
2025-08-11 06:00:00+00:00,,18058.53199678207,17732.785194713415,18384.27879885072
2025-08-11 07:00:00+00:00,,18338.206240923035,18012.459438854385,18663.95304299169
2025-08-11 08:00:00+00:00,,18565.658862777917,18239.912060709263,18891.405664846567
