date,load_tenn_actual,load_tenn_fitted,load_tenn_lower,load_tenn_upper
2025-05-07 00:00:00+00:00,,12239.20727658287,11699.926987348248,12778.487565817493
2025-05-07 01:00:00+00:00,,12389.640224750998,11850.359935516375,12928.92051398562
2025-05-07 02:00:00+00:00,,12586.188589884088,12046.908300649467,13125.46887911871
2025-05-07 03:00:00+00:00,,13559.758677661983,13020.47838842736,14099.038966896605
2025-05-07 04:00:00+00:00,,15572.329905183984,15033.049615949361,16111.610194418607
2025-05-07 05:00:00+00:00,,17290.92360945498,16751.64332022036,17830.203898689604
2025-05-07 06:00:00+00:00,,17976.443869224197,17437.163579989574,18515.72415845882
2025-05-07 07:00:00+00:00,,18610.12239822098,18070.84210898636,19149.402687455604
2025-05-07 08:00:00+00:00,,18882.530206339383,18343.24991710476,19421.810495574005
2025-05-07 09:00:00+00:00,,18512.020255514035,17972.739966279412,19051.300544748658
2025-05-07 10:00:00+00:00,,18136.926113186517,17597.645823951894,18676.20640242114
2025-05-07 11:00:00+00:00,,17618.28533002126,17079.00504078664,18157.56561925588
2025-05-07 12:00:00+00:00,,17440.67525597051,16901.394966735887,17979.95554520513
2025-05-07 13:00:00+00:00,,17092.5260086293,16553.245719394676,17631.80629786392
2025-05-07 14:00:00+00:00,,16791.951925802274,16252.671636567651,17331.232215036896
2025-05-07 15:00:00+00:00,,16744.9144020876,16205.63411285298,17284.194691322224
2025-05-07 16:00:00+00:00,,16822.01331263885,16282.73302340423,17361.293601873473
2025-05-07 17:00:00+00:00,,16917.226706446938,16377.946417212313,17456.50699568156
2025-05-07 18:00:00+00:00,,15862.01874889963,15322.738459665008,16401.299038134253
2025-05-07 19:00:00+00:00,,15057.278847919037,14517.998558684414,15596.55913715366
2025-05-07 20:00:00+00:00,,14173.99595609703,13634.715666862407,14713.276245331652
2025-05-07 21:00:00+00:00,,13384.650370504343,12845.37008126972,13923.930659738966
2025-05-07 22:00:00+00:00,,12520.021270818206,11980.740981583584,13059.301560052829
2025-05-07 23:00:00+00:00,,12353.965671552784,11814.685382318161,12893.245960787406
2025-05-08 00:00:00+00:00,,12469.385774397682,11930.10548516306,13008.666063632305
2025-05-08 01:00:00+00:00,,12418.965473802535,11879.685184567914,12958.245763037157
2025-05-08 02:00:00+00:00,,12836.689763280254,12297.409474045631,13375.970052514876
2025-05-08 03:00:00+00:00,,13978.879405062376,13439.599115827754,14518.159694296999
2025-05-08 04:00:00+00:00,,15548.091491289983,15008.81120205536,16087.371780524605
2025-05-08 05:00:00+00:00,,17135.200182748842,16595.91989351422,17674.480471983465
2025-05-08 06:00:00+00:00,,17772.75755227974,17233.47726304512,18312.037841514364
2025-05-08 07:00:00+00:00,,17944.376586890394,17405.096297655775,18483.656876125016
2025-05-08 08:00:00+00:00,,18148.161319236162,17608.88103000154,18687.441608470785
2025-05-08 09:00:00+00:00,,18202.70015617291,17663.419866938286,18741.98044540753
2025-05-08 10:00:00+00:00,,17792.257390828836,17252.977101594213,18331.53768006346
2025-05-08 11:00:00+00:00,,17490.16091412875,16950.880624894133,18029.441203363374
2025-05-08 12:00:00+00:00,,17292.21384944683,16752.93356021221,17831.494138681453
2025-05-08 13:00:00+00:00,,16867.20657601411,16327.926286779486,17406.48686524873
2025-05-08 14:00:00+00:00,,16626.97610525818,16087.695816023559,17166.256394492804
2025-05-08 15:00:00+00:00,,16540.901041043282,16001.620751808661,17080.181330277905
2025-05-08 16:00:00+00:00,,16776.784304030232,16237.50401479561,17316.064593264855
2025-05-08 17:00:00+00:00,,16732.70826917412,16193.427979939497,17271.988558408742
2025-05-08 18:00:00+00:00,,15877.94897736941,15338.668688134789,16417.229266604034
2025-05-08 19:00:00+00:00,,15215.884173538547,14676.603884303924,15755.16446277317
2025-05-08 20:00:00+00:00,,14561.380468148258,14022.100178913635,15100.66075738288
2025-05-08 21:00:00+00:00,,13740.26524640467,13200.984957170049,14279.545535639292
2025-05-08 22:00:00+00:00,,12985.157407956358,12445.877118721735,13524.43769719098
2025-05-08 23:00:00+00:00,,12421.492500676342,11882.21221144172,12960.772789910965
2025-05-09 00:00:00+00:00,,12595.465461598504,12056.185172363881,13134.745750833126
2025-05-09 01:00:00+00:00,,12517.988523330047,11978.708234095424,13057.26881256467
2025-05-09 02:00:00+00:00,,12663.380255450083,12124.09996621546,13202.660544684706
2025-05-09 03:00:00+00:00,,13475.501768854145,12936.221479619522,14014.782058088766
2025-05-09 04:00:00+00:00,,15396.708711043711,14857.428421809089,15935.989000278334
2025-05-09 05:00:00+00:00,,17000.86042900508,16461.580139770456,17540.1407182397
2025-05-09 06:00:00+00:00,,17502.43648068531,16963.156191450686,18041.716769919927
2025-05-09 07:00:00+00:00,,17862.281540753393,17323.00125151877,18401.56182998801
