number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_use_base_models_pred_intervals,params_vapor_pressure,state
0,1450.2105790242992,0.5744773519461792,False,False,True,False,True,True,False,True,True,True,large,0.024292517438768223,15,17,0.07855525027331167,757,13,large,0.005644118895105523,0.0002371206247537088,idw,0.9476895724960798,0,True,False,COMPLETE
1,1467.428584556036,0.5749916986906403,True,True,False,False,False,False,False,False,False,False,large,0.03615561604067987,9,77,0.26286160491249944,454,89,none,0.3239689736642558,7.6280270854368585e-06,mean,0.8083077174766751,6,True,False,COMPLETE
2,1407.012459307646,0.5331924940367625,False,False,True,False,False,True,True,True,True,True,none,0.04005701919348786,3,59,0.046692174262674024,961,135,small,0.005871182514105168,0.00024918796669794814,None,0.8646995722962405,6,True,True,COMPLETE
3,1408.3801281508904,0.8971754367906635,True,False,True,True,False,False,False,True,False,True,none,0.056907832449081645,11,46,0.3107406609083302,577,38,small,4.039111649383795e-06,0.01831559269265836,distance_capacity,0.6555160311711987,2,False,False,COMPLETE
4,1531.412250441607,0.7842348288595535,True,True,False,True,False,True,False,False,False,True,large,0.25895181055867006,11,5,0.352887902033454,428,98,small,0.1731680094803849,9.575131924823932e-07,distance_capacity,0.9138585593518753,6,True,True,COMPLETE
5,1409.857959571914,0.5629224000200135,False,False,True,False,True,False,True,False,True,False,small,0.040820552946274874,6,46,0.06785910579105209,343,84,none,0.00010783908033922199,0.045131056061319084,None,0.858885184476951,6,True,True,COMPLETE
6,1412.6809457172433,0.9176064930231622,False,True,True,True,True,True,False,False,True,True,none,0.1873636425120448,8,71,0.30578952693172357,599,134,none,0.07966701477800137,0.0003031582536919737,mean,0.5510618033058603,6,False,False,COMPLETE
7,1436.3059645550077,0.7265929827679867,False,False,True,True,False,True,False,False,False,True,none,0.010596554254626116,8,6,0.34688896301514394,510,30,none,2.5235682550492097e-06,0.0006170593097738268,None,0.7498944867416186,6,False,True,COMPLETE
8,1471.6929077912462,0.6386287475746693,True,False,True,True,False,True,True,False,True,True,large,0.17445307553107597,3,7,0.429554890420733,403,26,large,1.7318924662913663e-06,0.04417443782834141,mean,0.9890313369189612,0,False,False,COMPLETE
9,1536.714463853206,0.6220210343853736,False,False,True,False,False,True,True,True,True,False,none,0.03933187845962061,3,70,0.40551243749398996,575,23,none,1.3481540185912029e-06,0.0010686675572765198,distance_capacity,0.9578227585859342,2,False,False,COMPLETE
10,1494.4160040483655,0.502490258269144,False,True,False,False,True,False,True,True,True,False,small,0.11427053778218714,14,95,0.16406035193172125,997,149,small,0.0008153612342470516,1.8714398165172426e-08,max,0.7157265504057069,0,True,True,COMPLETE
11,1434.4449839773997,0.987567368522631,True,False,True,True,False,False,True,True,False,True,none,0.08881965278729587,12,41,0.20011098518657341,764,48,small,1.4051849799288134e-08,0.9744123451018153,capacity,0.6444494957149675,2,False,True,COMPLETE
12,1410.0506514268316,0.8324032175370817,True,False,True,False,False,False,False,True,False,True,none,0.07392499401583781,6,29,0.0061385537993683265,995,59,small,3.1981528126837616e-05,0.01941729264842131,distance_n_turbines,0.6312694132348344,2,False,False,COMPLETE
13,1456.1029632596194,0.8616970958746217,True,False,True,True,False,False,True,True,False,True,none,0.0192308657643607,12,58,0.4892513391782322,715,115,small,0.004178098794943852,9.913799151825135e-06,distance_capacity,0.8380560238765294,2,True,True,COMPLETE
14,1460.5778098983446,0.7018341428345085,False,False,False,True,False,True,False,True,True,True,none,0.060197772459250815,6,56,0.19231669970881055,851,61,small,2.528659211312645e-08,0.005879066687022392,None,0.5153386846580801,2,False,False,COMPLETE
15,1457.638528901308,0.9877768526716074,True,False,True,False,False,False,True,True,False,True,none,0.02070520659003767,11,33,0.13184750548570892,867,124,small,3.234955831500195e-05,0.9096330274972884,distance_n_turbines,0.6565363591121471,6,True,True,COMPLETE
16,1403.5225351855358,0.9040581898829863,False,False,True,False,False,False,False,True,True,True,small,0.10282909381376283,16,89,0.24966862235358897,661,107,large,0.011777967719911214,2.0949017585133435e-05,idw,0.7799786674385617,2,False,False,COMPLETE
17,1461.6492505661536,0.7929973972572384,False,False,True,False,False,True,True,True,True,True,small,0.11504332325574229,16,98,0.0007457841942893895,892,107,large,0.014868703174590533,1.971246489225623e-05,idw,0.7888885794343125,6,True,True,COMPLETE
18,1438.1843828282028,0.6542668449194973,False,True,False,False,True,False,True,True,True,False,small,0.12665898783824237,14,87,0.23700368761395174,681,145,large,0.0005404555668144959,2.063314852701711e-07,idw,0.8522163541811831,2,True,True,COMPLETE
19,1479.1546204667454,0.9270439100922557,False,False,True,False,False,True,False,True,True,True,small,0.011394724717284277,4,81,0.10681990656899704,928,129,large,0.03881334016068346,5.561259946665711e-05,max,0.7352897958591041,0,False,False,COMPLETE
