number,value,params_alpha,params_l1_ratio,state
0,0.46316148640314925,0.7190414731376363,0.6292507437090412,COMPLETE
1,0.49520114900077317,0.9448023624066009,0.9507456994669463,COMPLETE
2,0.43642090069788814,0.7318346062499052,0.3621154100945685,COMPLETE
3,0.41229291679960395,0.6327590102933427,0.17725284845675468,COMPLETE
4,0.397883686225681,0.4866955347401391,0.09885100944942252,COMPLETE
5,0.4887911837112234,0.830309960918003,0.8487410063099203,COMPLETE
6,0.4005469497355425,0.18263709194166058,0.6674143854488108,COMPLETE
7,0.3872791762617777,0.13394222847616893,0.2993179746871171,COMPLETE
8,0.4951277678561747,0.9269720220928426,0.8943523833088928,COMPLETE
9,0.42607776693924493,0.893098553544475,0.19358425726827938,COMPLETE
10,0.37793332728626566,0.02509919352403428,0.3839365841511919,COMPLETE
11,0.37760600667615474,0.02283308426084966,0.38208633985254,COMPLETE
12,0.3778685128740745,0.02130862077404655,0.4697056905612907,COMPLETE
13,0.41362609051128596,0.34037406866154096,0.5287768547739056,COMPLETE
14,0.40815389003328467,0.3152047424465926,0.4543934713187021,COMPLETE
15,0.3778392516862702,0.017496316944506846,0.6056918027104551,COMPLETE
16,0.4052431690816431,0.21576876538145182,0.7166468733051412,COMPLETE
17,0.4270656895964732,0.42632215367104426,0.5965280681180244,COMPLETE
18,0.39424828934056716,0.11392792347751862,0.7450964366006905,COMPLETE
19,0.39909380289064905,0.28188159916763195,0.28498504842111677,COMPLETE
20,0.3875034329936412,0.06922313254666818,0.7839086400890449,COMPLETE
21,0.3765373821285535,0.010433712243308397,0.4832661423263461,COMPLETE
22,0.4005423680351519,0.1947021893236047,0.5848849234677325,COMPLETE
23,0.3775376061882222,0.01831125224979174,0.5054697707580924,COMPLETE
24,0.3899565742363665,0.12896634530119824,0.4279512837392634,COMPLETE
25,0.4053495086572197,0.26010397995216245,0.5252208343702914,COMPLETE
26,0.40554071193049596,0.3924509649304935,0.2657846147607932,COMPLETE
27,0.37948296221986305,0.0930202212312577,0.04934113327144679,COMPLETE
28,0.427030218954059,0.6044635638727658,0.36479844562920066,COMPLETE
29,0.4003860800012298,0.20756831193778777,0.521152164849078,COMPLETE
30,0.3833303073681417,0.06904816530925338,0.40992320344296035,COMPLETE
31,0.380928648694656,0.03498082370379476,0.6476759111402048,COMPLETE
32,0.3771824411834333,0.015076484885942773,0.5596676628921624,COMPLETE
33,0.3949537718424703,0.14583099603823937,0.5504226613358538,COMPLETE
34,0.38547811419507727,0.0831110573354451,0.479457451388251,COMPLETE
35,0.3897996891801667,0.1575839086936719,0.31625791513018786,COMPLETE
36,0.4146149504923922,0.6241058071074034,0.20650927148259357,COMPLETE
37,0.4072517600809982,0.2375005299165782,0.6865372661950102,COMPLETE
38,0.37664961403242125,0.013708825715937125,0.34652561735062976,COMPLETE
39,0.3810382512767458,0.09581799552148693,0.12858528329331648,COMPLETE
40,0.45542271220024816,0.5235467042414065,0.8086728483491672,COMPLETE
41,0.3766801858383379,0.010979472168053738,0.37313294760487936,COMPLETE
42,0.3811836654185351,0.05947520912329088,0.3363536346113283,COMPLETE
43,0.42121862803742743,0.706842192441034,0.23167919704873624,COMPLETE
44,0.3931824944702526,0.15653697839600014,0.4344057031244102,COMPLETE
45,0.38346271553468253,0.06325557139657008,0.4811212273243536,COMPLETE
46,0.37660841157122477,0.013896713708386974,0.39579879279875224,COMPLETE
47,0.3767059221679464,0.011695558674055286,0.34138785451234493,COMPLETE
48,0.4402950102632364,0.8221783715877338,0.3396636627943542,COMPLETE
49,0.3849414149258932,0.11680019094740783,0.25036850901455604,COMPLETE
