number,value,params_alpha,params_cloud_lags_option,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_l1_ratio,params_lags_target,params_precip_lags_option,params_rolling_temp_option,params_spatial_agg_method,params_temp_lags_option,state
0,4472.995770925665,0.6650839400290824,medium,False,False,False,True,True,False,True,True,False,False,False,True,False,True,False,True,True,0.7239034346442632,6.0,small,short,mean,none,COMPLETE
1,4090.9161295294302,0.30935425305670794,none,True,False,True,False,False,True,True,True,False,True,True,False,False,False,False,True,False,0.04567566534372783,,none,short,population,small,COMPLETE
2,4237.411376516125,0.4204956829431062,medium,True,False,True,False,True,True,True,False,False,False,False,False,True,True,True,True,False,0.7845792119046954,1.0,small,short,mean,small,COMPLETE
3,4723.638492119036,0.5971768935063115,small,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,0.11171550547811045,,medium,short,None,medium,COMPLETE
4,4276.063606235192,0.3318826942678463,small,True,True,False,False,True,True,False,True,True,True,False,True,False,False,False,True,True,0.9683538002685679,12.0,small,none,idw,medium,COMPLETE
5,3355.8427862168464,0.5281368970968162,none,False,False,False,False,False,True,False,False,True,True,False,False,True,True,False,True,False,0.1838540688968459,12.0,small,short,distance_energy,medium,COMPLETE
6,4532.727783959671,0.13892620703023928,small,False,True,False,False,True,False,True,False,False,False,True,True,True,False,False,True,False,0.18039269468918928,6.0,none,none,mean,none,COMPLETE
7,4103.75462789248,0.9327900984557151,medium,True,True,True,True,False,True,False,False,True,True,True,False,True,True,True,True,True,0.5142322426825525,1.0,none,none,None,small,COMPLETE
8,415599.2658240947,0.39056116946827885,small,True,True,False,True,False,False,False,False,True,False,True,True,True,False,True,False,True,0.9022663532420669,1.0,medium,short,mean,small,COMPLETE
9,3879.142729629408,0.6106175448093112,small,True,True,True,False,True,True,False,False,False,False,False,False,False,True,False,True,False,0.32713818259193506,,none,short,population,small,COMPLETE
10,3789.9898251636428,0.8958217975785515,none,False,False,False,True,False,True,False,True,True,True,False,False,True,True,True,False,False,0.43213614424822766,12.0,small,long,distance_energy,medium,COMPLETE
11,3789.9898251636428,0.9439437750991679,none,False,False,False,True,False,True,False,True,True,True,False,False,True,True,True,False,False,0.45923423518326656,12.0,small,long,distance_energy,medium,COMPLETE
12,3789.9898251636428,0.7757867258090897,none,False,False,False,True,False,True,False,True,True,True,False,False,True,True,True,False,False,0.3516694611932315,12.0,small,long,distance_energy,medium,COMPLETE
13,4077.772917008509,0.023594239600703115,none,False,False,False,True,False,True,False,True,True,True,False,False,True,True,True,False,False,0.22807367560740938,12.0,small,long,max,medium,COMPLETE
14,4304.243318636783,0.7588695712147869,none,False,False,False,False,False,True,False,False,True,True,False,False,True,True,False,False,False,0.5767047928039871,12.0,small,long,distance_energy,medium,COMPLETE
15,11737989892.436617,0.7824718963837984,none,False,False,False,True,False,True,False,True,True,True,False,False,True,True,True,False,False,0.35081837248481035,12.0,small,long,energy,medium,COMPLETE
16,51534.536312610864,0.9880867760234435,none,False,False,False,False,False,True,False,False,True,True,False,False,True,True,True,False,False,0.6705689653066791,12.0,medium,long,distance_population,none,COMPLETE
17,3586.40793980066,0.4971527540914831,none,False,False,False,True,False,True,False,True,True,True,False,False,True,True,False,False,False,0.2461465969610485,12.0,small,short,distance_energy,medium,COMPLETE
18,4125.325868724301,0.49755365279127134,none,False,False,True,False,False,False,True,False,True,True,True,False,False,True,False,True,True,0.19591186903132737,6.0,small,short,distance_energy,medium,COMPLETE
19,29081.750219486155,0.26198865958784656,none,False,False,False,True,False,True,False,True,True,True,False,False,True,True,False,False,False,0.03540348511647312,12.0,medium,short,idw,medium,COMPLETE
20,3801.615433716588,0.503828623227693,medium,False,False,False,False,False,True,False,False,True,True,False,False,True,True,False,True,False,0.24079140429304333,12.0,small,short,max,none,COMPLETE
21,3586.40793980066,0.6835739971825152,none,False,False,False,True,False,True,False,True,True,True,False,False,True,True,False,False,False,0.43781219539735206,12.0,small,short,distance_energy,medium,COMPLETE
22,3586.40793980066,0.6484797436686985,none,False,False,False,True,False,True,False,True,True,True,False,False,True,True,False,False,False,0.2783246228638681,12.0,small,short,distance_energy,medium,COMPLETE
23,3586.40793980066,0.5111462412939192,none,False,False,False,True,False,True,False,True,True,True,False,False,True,True,False,False,False,0.12957126618733,12.0,small,short,distance_energy,medium,COMPLETE
24,12237292880.84279,0.7205365453805543,none,False,False,False,True,False,True,False,True,True,True,False,False,True,True,False,False,False,0.5706363266858758,12.0,small,short,energy,medium,COMPLETE
25,61611.42700786371,0.5497999012128353,none,False,False,False,True,False,True,False,True,True,True,False,False,True,True,False,False,False,0.4250069287153113,12.0,small,short,distance_population,medium,COMPLETE
26,8334.209580576877,0.8352390174340527,none,False,False,True,True,False,False,True,True,True,True,True,True,False,False,False,False,True,0.2897833676453429,6.0,small,none,distance_energy,medium,COMPLETE
27,10075.681142478157,0.42979885797272144,none,False,False,False,True,False,True,False,True,True,True,False,False,True,True,False,False,False,0.11075670020309619,1.0,small,short,distance_energy,medium,COMPLETE
28,3853.7230077634945,0.21211816837680636,medium,False,False,False,False,False,True,False,False,True,True,False,False,True,True,False,True,False,0.39833326682039655,,medium,short,distance_energy,none,COMPLETE
29,4170.693821423443,0.6772187272163217,none,False,False,False,True,True,False,True,True,False,False,False,True,False,True,False,True,True,0.5206990765425645,6.0,none,short,distance_energy,medium,COMPLETE
30,4039.75924285204,0.5709210909032509,medium,False,False,False,True,False,True,False,True,True,True,False,False,True,True,False,False,False,0.6865106620717214,12.0,small,short,max,none,COMPLETE
31,3586.40793980066,0.6568340436737279,none,False,False,False,True,False,True,False,True,True,True,False,False,True,True,False,False,False,0.28113034443823826,12.0,small,short,distance_energy,medium,COMPLETE
32,200289.58315228554,0.6754413312397369,none,False,False,False,True,False,True,False,True,True,True,False,False,True,True,False,False,False,0.14599917686693756,12.0,small,short,population,medium,COMPLETE
33,3586.40793980066,0.4211286461526634,none,False,False,False,True,False,True,False,True,True,True,False,False,True,True,False,False,False,0.29530281018577575,12.0,small,short,distance_energy,medium,COMPLETE
34,228098010439.85507,0.6427182561359449,none,True,False,True,True,False,True,True,True,False,True,False,False,True,False,False,False,False,0.07750821532979409,,small,short,None,medium,COMPLETE
35,3923.853108930553,0.46092114357878367,none,False,False,False,False,True,True,False,True,True,False,False,False,False,True,False,True,False,0.25467773155797235,12.0,small,short,idw,small,COMPLETE
36,3483.6091622351523,0.36349038583517007,small,True,True,False,False,False,True,False,False,False,True,True,True,True,False,False,True,False,0.3821907480353463,12.0,none,none,distance_energy,medium,COMPLETE
37,4651.209061802388,0.35042356306540867,small,True,True,True,False,True,False,True,False,False,True,True,True,True,False,False,True,False,0.188014956542338,1.0,none,none,distance_population,medium,COMPLETE
38,4319.438104070765,0.27123328833083943,small,True,True,False,False,False,True,False,False,False,False,True,True,True,False,False,True,True,0.4738964342736368,,none,none,mean,small,COMPLETE
39,3340.6813688370366,0.3669302655057805,small,True,True,False,False,True,True,False,False,False,True,True,True,False,False,False,True,False,0.5770477308686702,12.0,none,none,energy,medium,COMPLETE
40,4036.403953412662,0.3643861675890805,small,True,True,True,False,True,False,False,False,False,False,True,True,False,False,False,True,True,0.3838388904283768,6.0,none,none,energy,small,COMPLETE
41,3340.6813688370366,0.3079547246735868,small,True,True,False,False,True,True,False,False,False,True,True,True,False,False,False,True,False,0.642113076530866,12.0,none,none,energy,medium,COMPLETE
42,3340.6813688370366,0.19207626892994512,small,True,True,False,False,True,True,False,False,False,True,True,True,False,False,False,True,False,0.7998534312988885,12.0,none,none,energy,medium,COMPLETE
43,3340.6813688370366,0.16496077251875774,small,True,True,False,False,True,True,False,False,False,True,True,True,False,False,False,True,False,0.7892570321494258,12.0,none,none,energy,medium,COMPLETE
44,4036.072509561139,0.12140379023752834,small,True,True,False,False,True,True,False,False,False,True,True,True,False,False,False,True,False,0.8034513577086492,1.0,none,none,energy,medium,COMPLETE
45,3340.6813688370366,0.19892454534391857,small,True,True,False,False,True,True,False,False,False,True,True,True,False,False,False,True,False,0.8026864722782581,12.0,none,none,energy,medium,COMPLETE
46,3340.6813688370366,0.17793716171503796,small,True,True,False,False,True,True,False,False,False,True,True,True,False,False,False,True,False,0.8210451202666897,12.0,none,none,energy,medium,COMPLETE
47,3340.6813688370366,0.028244933349863555,small,True,True,False,False,True,True,False,False,False,True,True,True,False,False,False,True,False,0.8810503531615665,12.0,none,none,energy,medium,COMPLETE
48,3344.0221896963776,0.29808665791660655,small,True,True,False,False,True,True,False,False,False,True,True,True,False,False,False,True,False,0.7442637865847145,12.0,none,none,energy,none,COMPLETE
49,3310.290721277908,0.12640066069791212,small,True,True,False,False,True,True,True,False,False,False,True,True,False,False,True,True,False,0.6429469553330048,12.0,none,none,energy,medium,COMPLETE
50,4101.474597913901,0.07542398796400358,small,True,True,False,False,True,True,True,False,False,False,True,True,False,False,True,True,False,0.6472340262179752,,none,none,energy,medium,COMPLETE
51,3310.290721277908,0.21948051968752977,small,True,True,False,False,True,True,True,False,False,False,True,True,False,False,True,True,False,0.7410174662773041,12.0,none,none,energy,medium,COMPLETE
52,3310.290721277908,0.14053320683728748,small,True,True,False,False,True,True,True,False,False,False,True,True,False,False,True,True,False,0.7459465000149161,12.0,none,none,energy,medium,COMPLETE
53,3310.290721277908,0.1053711207048072,small,True,True,False,False,True,True,True,False,False,False,True,True,False,False,True,True,False,0.6113146012462153,12.0,none,none,energy,medium,COMPLETE
54,3310.290721277908,0.10656837642844488,small,True,True,False,False,True,True,True,False,False,False,True,True,False,False,True,True,False,0.6167172431723138,12.0,none,none,energy,medium,COMPLETE
55,3310.290721277908,0.09512119009744277,small,True,True,False,False,True,True,True,False,False,False,True,True,False,False,True,True,False,0.5894925908048719,12.0,none,none,energy,medium,COMPLETE
56,3326.8864544489884,0.10538488933789214,small,True,True,False,False,True,True,True,False,False,False,True,True,False,False,True,True,False,0.7234320398033365,12.0,none,none,energy,small,COMPLETE
57,3813.3374679039625,0.08953440749772583,small,True,True,False,False,True,False,True,False,False,False,True,True,False,False,True,True,False,0.6160194982833204,12.0,none,none,energy,medium,COMPLETE
58,3779.509041752726,0.05777676128178981,small,True,True,True,False,True,True,True,False,False,False,True,True,False,False,True,True,True,0.7356657576177252,1.0,none,none,None,medium,COMPLETE
59,3336.1475778803324,0.23935955764172706,small,True,True,False,False,True,True,True,False,False,False,True,True,False,False,True,True,False,0.5465190936339973,12.0,none,none,population,medium,COMPLETE
60,3321.260368796802,0.14234022847825584,small,True,True,False,False,True,True,True,False,False,False,True,True,False,False,True,True,False,0.6992468933092508,12.0,medium,none,energy,none,COMPLETE
61,3321.260368796802,0.15061965988660797,small,True,True,False,False,True,True,True,False,False,False,True,True,False,False,True,True,False,0.6976105296710954,12.0,medium,none,energy,none,COMPLETE
62,3321.260368796802,0.014233976256918884,small,True,True,False,False,True,True,True,False,False,False,True,True,False,False,True,True,False,0.8623771686781431,12.0,medium,none,energy,none,COMPLETE
63,3321.260368796802,0.12929964283616818,small,True,True,False,False,True,True,True,False,False,False,True,True,False,False,True,True,False,0.6034277921733543,12.0,medium,none,energy,none,COMPLETE
64,3456.4630781185588,0.053568437201894255,small,True,True,False,False,True,True,True,False,False,False,True,True,False,False,True,True,False,0.9881811213690156,12.0,medium,none,mean,none,COMPLETE
65,3582.8337715531397,0.14109214572994386,medium,True,True,False,False,True,True,True,False,False,False,True,True,False,False,True,True,False,0.7544923538201004,6.0,none,none,energy,none,COMPLETE
66,4050.5324207958024,0.23317209967771896,small,True,True,False,False,True,True,True,False,False,False,True,True,False,False,True,True,False,0.6663299315664515,12.0,none,long,idw,medium,COMPLETE
67,3310.290721277908,0.10479660566637965,small,True,True,False,False,True,True,True,False,False,False,True,True,False,False,True,True,False,0.6273930919223899,12.0,none,none,energy,medium,COMPLETE
68,4291.443524917272,0.08684424831378634,small,True,True,False,False,True,False,True,False,False,False,True,True,False,False,True,True,False,0.6198144250510006,12.0,none,none,max,medium,COMPLETE
69,3404.1550506011295,0.04766602046360359,small,True,True,False,False,True,True,True,False,False,False,True,True,False,False,True,True,True,0.49939342965740274,12.0,none,none,energy,medium,COMPLETE
