date,load_rte_actual,load_rte_fitted,load_rte_lower,load_rte_upper
2025-05-29 00:00:00+00:00,36777.0,38012.35,37454.35136915588,38570.35126815284
2025-05-29 01:00:00+00:00,34626.25,35535.426,34977.42620645161,36093.42610544856
2025-05-29 02:00:00+00:00,33164.0,34721.035,34163.0344091628,35279.03430815975
2025-05-29 03:00:00+00:00,32916.75,35454.47,34896.46940864821,36012.469307645166
2025-05-29 04:00:00+00:00,33241.25,35882.297,35324.29770678069,36440.29760577765
2025-05-29 05:00:00+00:00,34396.0,38408.36,37850.358939468286,38966.35883846524
2025-05-29 06:00:00+00:00,36228.25,40362.535,39804.53586100098,40920.53575999793
2025-05-29 07:00:00+00:00,38718.5,42285.04,41727.040489242296,42843.04038823924
2025-05-29 08:00:00+00:00,40431.0,41442.797,40884.79813338448,42000.79803238143
2025-05-29 09:00:00+00:00,41428.75,43060.906,42502.906559000716,43618.90645799767
2025-05-29 10:00:00+00:00,43041.5,46124.23,45566.23202098305,46682.231919980004
2025-05-29 11:00:00+00:00,41771.0,44679.46,44121.4627116239,45237.46261062085
2025-05-29 12:00:00+00:00,39576.5,43396.887,42838.88781176562,43954.887710762574
2025-05-29 13:00:00+00:00,37879.0,41202.57,40644.569874584995,41760.56977358195
2025-05-29 14:00:00+00:00,36960.5,40620.863,40062.862226906844,41178.8621259038
2025-05-29 15:00:00+00:00,38094.5,40741.965,40183.964203241405,41299.96410223836
2025-05-29 16:00:00+00:00,39789.75,42247.125,41689.12667548325,42805.1265744802
2025-05-29 17:00:00+00:00,41136.0,41780.66,41222.65874903918,42338.65864803614
2025-05-29 18:00:00+00:00,40464.75,41131.43,40573.428537187014,41689.42843618397
2025-05-29 19:00:00+00:00,40178.25,41739.0,41181.001355881024,42297.00125487798
2025-05-29 20:00:00+00:00,42186.75,44111.793,43553.79242644579,44669.792325442744
2025-05-29 21:00:00+00:00,42065.5,43806.75,43248.750079229496,44364.74997822645
2025-05-29 22:00:00+00:00,39280.0,40429.37,39871.3719912117,40987.371890208655
2025-05-29 23:00:00+00:00,36786.75,37621.574,37063.57354109516,38179.573440092114
2025-05-30 00:00:00+00:00,35200.75,35451.76,34893.76123581862,36009.76113481558
2025-05-30 01:00:00+00:00,33326.25,34714.902,34156.90073092415,35272.9006299211
2025-05-30 02:00:00+00:00,32439.75,33508.35,32950.35217909584,34066.352078092794
2025-05-30 03:00:00+00:00,33182.5,32581.328,32023.328261436152,33139.328160433106
2025-05-30 04:00:00+00:00,34751.25,34005.375,33447.37399009674,34563.373889093695
2025-05-30 05:00:00+00:00,36841.75,39169.156,38611.15678407128,39727.15668306824
2025-05-30 06:00:00+00:00,39457.5,42486.137,41928.13655943702,43044.136458433975
2025-05-30 07:00:00+00:00,41795.0,45911.465,45353.46475584665,46469.46465484361
2025-05-30 08:00:00+00:00,43225.25,47293.47,46735.46716157449,47851.46706057144
2025-05-30 09:00:00+00:00,44444.25,49215.47,48657.47002809649,49773.46992709344
2025-05-30 10:00:00+00:00,45869.0,49666.566,49108.56570366298,50224.56560265993
2025-05-30 11:00:00+00:00,45132.25,48679.906,48121.90482509897,49237.904724095926
2025-05-30 12:00:00+00:00,44148.5,47849.957,47291.95835771269,48407.958256709644
