number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_solar_geometry,params_vapor_pressure,state
0,1258.8486946450555,none,0.797651651402694,True,True,True,True,False,True,False,True,False,True,True,6.0,0.2797137093451723,4,10,729,none,0.004670184927655924,0.6214125273959684,small,distance_capacity,0.6222687472556184,False,False,COMPLETE
1,1305.7599487680052,small,0.9984655921625265,False,False,False,False,False,False,True,False,True,True,True,1.0,0.016160187633700387,5,9,574,large,0.006780715181913226,3.691512126639864e-05,small,capacity,0.6193013236946288,False,True,COMPLETE
2,1262.971454863105,none,0.539247818913148,True,True,True,False,True,True,False,False,False,False,True,6.0,0.08456571132819238,6,4,563,small,0.025465527924210727,5.816916995262465e-06,large,capacity,0.7904218920824084,False,True,COMPLETE
3,1354.7142141403801,medium,0.5634317292496211,False,False,True,True,True,False,True,False,False,True,False,6.0,0.05078672419794983,10,6,884,large,1.313225919678685e-05,0.016934740036434616,medium,distance_capacity,0.7337745797253892,True,True,COMPLETE
4,1204.3287169823896,none,0.9020638989408842,False,False,False,True,True,True,False,True,True,False,False,,0.04376474457784811,5,5,616,small,9.76793695572085e-06,0.0002602666487264638,none,n_panels,0.7370834974724649,False,True,COMPLETE
5,1172.0538803208722,large,0.8201280423550966,True,True,False,True,False,True,False,True,True,False,False,,0.013082149006836113,5,9,376,small,3.030113215407318e-07,4.3218468848297146e-05,medium,None,0.9129422938810992,False,False,COMPLETE
6,1275.3181039237122,medium,0.8111887731520985,False,False,False,False,True,False,True,True,False,False,True,1.0,0.1704889801774079,9,3,908,large,1.6370084166865888e-08,1.6289259748575045e-05,small,n_panels,0.8142059056497705,True,True,COMPLETE
7,1231.4658948383262,small,0.5874588377682737,False,False,False,True,True,True,True,False,True,True,True,6.0,0.07879849998730187,4,3,785,small,7.710132904080568e-07,1.542232567340235e-05,none,None,0.8717121795073576,False,False,COMPLETE
8,1177.346996211175,medium,0.9189295875315455,True,False,True,True,False,False,True,False,True,True,False,1.0,0.09410414845125248,9,1,937,small,0.0004865912308915853,0.03836206733291919,none,distance_n_panels,0.6480605329014872,False,True,COMPLETE
9,1189.082664234488,none,0.7696805587653588,False,False,False,False,True,False,False,False,False,True,True,1.0,0.03961154827431397,3,4,869,large,1.697867837470525e-07,4.236475074540734e-05,small,distance_capacity,0.6196257012458298,True,True,COMPLETE
10,1237.5758187214744,large,0.68600075945702,True,True,False,True,False,True,False,True,True,False,False,,0.010006412214225331,7,8,302,none,0.5310004459400233,1.8096901061788477e-08,medium,mean,0.9981120550813293,True,False,COMPLETE
11,1185.4143242897069,large,0.916169050036908,True,True,True,True,False,False,True,True,True,False,False,12.0,0.021969451172251894,8,1,361,small,0.0003012273661032021,0.004994086733964714,none,distance_n_panels,0.5166849911259027,False,False,COMPLETE
12,1139.9603418906092,medium,0.8868505116197704,True,True,True,True,False,True,True,True,True,True,False,,0.13087371798416045,7,7,995,small,0.000165225214827613,2.6557290849884515e-07,medium,None,0.989252982890125,False,False,COMPLETE
13,1097.0962409955162,large,0.6910304184887109,True,True,True,True,False,True,False,True,True,False,False,,0.16858030556763748,7,7,436,small,1.2834021973445293e-05,1.450268333516081e-07,medium,None,0.9962081206632664,False,False,COMPLETE
14,1113.1593477111853,large,0.6763099938512843,True,True,True,True,False,True,True,True,True,True,False,,0.16160550830980594,7,7,463,small,2.6583414843465063e-05,7.107972448819104e-08,medium,None,0.9973309959161349,False,False,COMPLETE
15,1257.2207944827112,large,0.6650189216434972,True,True,True,True,False,True,False,True,True,False,False,,0.2811799036007665,8,7,482,small,1.1088289268129803e-05,1.4267191043313674e-08,medium,max,0.9270882096174978,False,False,COMPLETE
16,1096.9399148311234,large,0.6750065916000011,True,True,True,True,False,True,False,True,True,True,False,12.0,0.1642264605829701,6,6,474,none,4.382291167091949e-06,3.683467964627818e-07,large,idw,0.9531591946007578,False,False,COMPLETE
17,1127.8290474196026,large,0.6172692373512161,True,True,True,True,False,True,False,True,True,False,False,12.0,0.20203003472033929,6,6,475,none,1.5521958243541369e-06,1.2349476212863078e-06,large,idw,0.909363185407873,False,False,COMPLETE
18,1174.0501799221863,large,0.7316824363206849,True,True,True,False,False,True,False,True,True,True,False,12.0,0.117685295939867,6,5,689,none,5.4937827287971336e-08,3.7397585840036757e-07,large,idw,0.8350330268471069,True,False,COMPLETE
19,1211.6019516704353,large,0.6333120804379712,True,True,True,True,False,True,False,True,True,False,False,12.0,0.031361731786401593,8,8,439,none,2.4608504187204023e-06,1.8512299021359382e-06,large,idw,0.939701392836821,False,False,COMPLETE
20,1206.854767110792,small,0.7076602643690573,True,True,True,True,False,True,False,True,True,True,False,12.0,0.06403634377497033,3,8,511,none,5.662270208330547e-05,2.405171612585576e-07,large,mean,0.9402600599262745,False,False,COMPLETE
21,1115.9694766558239,large,0.6578794570879627,True,True,True,True,False,True,True,True,True,True,False,,0.17909179318767204,7,7,406,small,3.42620913657027e-05,5.738318668254655e-08,medium,None,0.9995907443709937,False,False,COMPLETE
22,1109.718439088659,large,0.7378046132897959,True,True,True,True,False,True,False,True,True,True,False,,0.1344813158706227,7,6,300,small,2.725378302544788e-06,7.626258889045097e-08,medium,None,0.9608834700724272,False,False,COMPLETE
23,1189.0322285618367,large,0.5023639933984466,True,True,True,True,False,True,False,True,True,True,False,,0.12625546286325687,6,6,311,none,3.117723084251207e-06,0.00032844356161787963,medium,max,0.8691434805243688,False,False,COMPLETE
