target,method,model_label,horizon,mse,rmse,mae,mape,smape,bias,variance,std,r2,prediction_interval_coverage,prediction_interval_width
hard_coal_tran,trained,MultiTargetCatBoost,2024-12-26T00:00:00+00:00,704444.4630335325,839.3118985416163,712.8643338084718,30.391707019366553,75.56714216032483,-676.2856097029655,247082.23714222066,497.07367375693985,-1.2031252084139452,0.0,0.0
renewables_tran,trained,MultiTargetCatBoost,2024-12-26T00:00:00+00:00,44984.643675335305,212.0958360631705,139.50483223710754,16.13326774089704,32.91260181264696,-42.19989539188855,43203.81250424897,207.85526816573346,0.5576933018643224,0.0,0.0
hard_coal_tran,trained,MultiTargetCatBoost,2025-01-02T00:00:00+00:00,247763.14779591162,497.7581217779491,410.5955228144738,32.035086589754194,58.722129720349905,-89.27359256043697,239793.3734672647,489.68701582466394,0.5639070128539272,0.0,0.0
renewables_tran,trained,MultiTargetCatBoost,2025-01-02T00:00:00+00:00,75453.385080288,274.68779565224224,196.68804539150656,22.69098440524465,43.7686158895612,-40.2392400394171,73834.18864133819,271.7244719220891,0.36900029255890276,0.0,0.0
hard_coal_tran,trained,MultiTargetCatBoost,2025-01-09T00:00:00+00:00,338250.34979994636,581.5929416696409,456.1410945737275,19.208985915540364,45.35258251351258,-419.59144437177446,162193.3696099545,402.7323796393264,-4.138887844364612,0.0,0.0
renewables_tran,trained,MultiTargetCatBoost,2025-01-09T00:00:00+00:00,82938.571513304,287.99057538972346,208.26586105245,17.53461894486274,36.09947125859274,-96.23866610336438,73676.69065994916,271.4345052861724,0.6250691118964866,0.0,0.0
hard_coal_tran,trained,MultiTargetCatBoost,2025-01-16T00:00:00+00:00,164025.91990260856,405.00113568064046,351.51017620139766,13.566456172132332,29.67940243220904,-339.2597414758501,48928.747716347905,221.19843515799994,-1.5141531090415525,0.0,0.0
renewables_tran,trained,MultiTargetCatBoost,2025-01-16T00:00:00+00:00,61003.56226805524,246.9889922001692,182.81471475547576,16.773065021006417,32.14183864484083,-18.50157836736221,60661.253865971594,246.29505448947123,0.7633244096793885,0.0,0.0
hard_coal_tran,trained,MultiTargetCatBoost,2025-01-23T00:00:00+00:00,320370.90520833177,566.013166992016,466.8636576160129,26.19468049050015,63.82940049218614,-369.53039776365506,183818.19033696668,428.74023643339876,-0.1241335350024968,0.0,0.0
renewables_tran,trained,MultiTargetCatBoost,2025-01-23T00:00:00+00:00,75812.1638257483,275.3400875748904,186.66158623511535,20.118943892907755,39.70267546793473,-47.765083680247386,73530.66060676727,271.1653750145237,0.5231622857543383,0.0,0.0
hard_coal_tran,trained,MultiTargetLGBM,2024-12-26T00:00:00+00:00,825233.2591773958,908.4235021053759,776.9355602935107,33.426844930197795,85.42192788032752,-724.0766139665624,300946.31628411356,548.5857419621053,-1.5808879074527926,0.0,0.0
renewables_tran,trained,MultiTargetLGBM,2024-12-26T00:00:00+00:00,46695.44694101053,216.09129307080036,149.02195061113494,18.421754487730016,36.099774039809205,-9.946928870039551,46596.5055470649,215.8622374271723,0.5408720117133583,0.0,0.0
hard_coal_tran,trained,MultiTargetLGBM,2025-01-02T00:00:00+00:00,299834.45300002757,547.5714136074195,437.2572531565914,31.1239972059278,57.8224362248764,-110.35426695944447,287656.38876387133,536.3360781859368,0.4722552428749518,0.0,0.0
renewables_tran,trained,MultiTargetLGBM,2025-01-02T00:00:00+00:00,68825.1848533388,262.34554475603125,188.09364935673,22.114552827173156,41.28654984590427,-14.727934635957993,68608.27279469774,261.93180943653584,0.4244304419102618,0.0,0.0
hard_coal_tran,trained,MultiTargetLGBM,2025-01-09T00:00:00+00:00,346296.9623663701,588.4700182391368,476.59131889475793,20.110692617242123,47.418905857891424,-453.35839175433745,140763.13099229083,375.18412945151454,-4.261136467404803,0.0,0.0
renewables_tran,trained,MultiTargetLGBM,2025-01-09T00:00:00+00:00,84080.4722861964,289.9663295732737,209.08423360279744,17.795610529710217,36.06025907995422,-84.92984733622818,76867.39331764138,277.2496948918815,0.6199070520358587,0.0,0.0
hard_coal_tran,trained,MultiTargetLGBM,2025-01-16T00:00:00+00:00,215973.7726433039,464.7297845450665,402.18974538209557,15.389149733982649,34.13865021573184,-392.3528055918993,62033.04858746919,249.06434627916775,-2.3103983339035707,0.0,0.0
renewables_tran,trained,MultiTargetLGBM,2025-01-16T00:00:00+00:00,64290.64440808676,253.55599856459077,188.62330601456495,17.646453535718653,33.55413545140003,-14.906815463155837,64068.43126083418,253.1174258340073,0.7505715133402237,0.0,0.0
hard_coal_tran,trained,MultiTargetLGBM,2025-01-23T00:00:00+00:00,352554.7581386646,593.7632172328163,494.74522185994596,28.554126098664607,69.10445442303764,-306.21876027747453,258784.8289927912,508.7089826146096,-0.2370618558219202,0.0,0.0
renewables_tran,trained,MultiTargetLGBM,2025-01-23T00:00:00+00:00,69510.45498374134,263.64835479050754,176.97085001160272,19.050023146065364,37.39540925955193,-42.9229729140192,67668.07337996371,260.13087740590066,0.5627983057335455,0.0,0.0
hard_coal_tran,trained,MultiTargetElasticNet,2024-12-26T00:00:00+00:00,2183532.347503359,1477.6780256548984,1366.7601886598875,58.38535340430743,169.43590847102976,-1366.7601886598875,315498.9341977472,561.6929180591003,-5.82892039133387,0.0,0.0
renewables_tran,trained,MultiTargetElasticNet,2024-12-26T00:00:00+00:00,113323.88340425347,336.6361290833969,291.30673939615616,42.175240096619,69.97388689248751,150.25872590231137,90746.19869446753,301.24109728665434,-0.11424496435281051,0.0,0.0
hard_coal_tran,trained,MultiTargetElasticNet,2025-01-02T00:00:00+00:00,1122250.0147513908,1059.3630231187942,883.937147259564,54.32273686402125,130.58584690343108,-749.8116342592343,560032.527880887,748.3532106438022,-0.9752952188870039,0.0,0.0
renewables_tran,trained,MultiTargetElasticNet,2025-01-02T00:00:00+00:00,115516.87534170254,339.8777358723318,265.6491027658903,33.11879850534785,58.498276532104775,67.80401569852343,110919.49079685693,333.04577883056396,0.03395832449978953,0.0,0.0
hard_coal_tran,trained,MultiTargetElasticNet,2025-01-09T00:00:00+00:00,2139220.0357477893,1462.6072732445266,1440.9191878376269,61.77504248529767,179.32652834055938,-1440.9191878376269,62971.92986914344,250.94208469115625,-31.50022311766221,0.0,0.0
