date,load_tenn_actual,load_tenn_fitted,load_tenn_lower,load_tenn_upper
2025-02-04 00:00:00+00:00,,14980.07018923337,14354.216191109634,15603.121863145994
2025-02-04 01:00:00+00:00,,14917.278623204673,14292.260923893384,15542.02563562623
2025-02-04 02:00:00+00:00,,15342.816509632828,14717.571085136195,15967.519577237901
2025-02-04 03:00:00+00:00,,16225.298841191965,15599.851193836592,16850.35960273186
2025-02-04 04:00:00+00:00,,17355.895658656682,16729.828103489464,17980.128215619203
2025-02-04 05:00:00+00:00,,18433.359101898724,17807.787835200936,19058.594142346272
2025-02-04 06:00:00+00:00,,19342.011557580743,18716.266209643254,19965.56203410131
2025-02-04 07:00:00+00:00,,20143.995176783683,19517.1487202948,20769.079824494347
2025-02-04 08:00:00+00:00,,20859.6036202815,20233.280937638818,21484.852164094416
2025-02-04 09:00:00+00:00,,21332.920021487025,20705.718590759927,21958.083074487004
2025-02-04 10:00:00+00:00,,21490.38261924954,20863.304473100994,22115.429262109614
2025-02-04 11:00:00+00:00,,21414.12112433493,20788.314637987645,22037.767747267542
2025-02-04 12:00:00+00:00,,21265.037934398366,20638.762262741242,21890.193875966117
2025-02-04 13:00:00+00:00,,21087.296585803164,20461.549131311895,21710.892687883104
2025-02-04 14:00:00+00:00,,20926.594059171694,20301.072239043566,21551.85686593491
2025-02-04 15:00:00+00:00,,20779.11763851255,20153.735789222217,21404.840824323244
2025-02-04 16:00:00+00:00,,20542.75317591582,19916.968377381912,21166.42201704265
2025-02-04 17:00:00+00:00,,20120.454197949133,19494.84712304395,20744.85025787451
2025-02-04 18:00:00+00:00,,19494.839268932777,18869.596271924605,20119.51622450007
2025-02-04 19:00:00+00:00,,18731.636034463747,18105.104077325133,19355.222111280502
2025-02-04 20:00:00+00:00,,17913.695623742235,17288.144680529735,18537.570376874177
2025-02-04 21:00:00+00:00,,17122.98010635614,16497.20497792378,17746.845120824797
2025-02-04 22:00:00+00:00,,16467.729887664053,15842.121222115007,17092.00113366281
2025-02-04 23:00:00+00:00,,16044.347124492084,15418.498143589622,16668.826495666155
2025-02-05 00:00:00+00:00,,15649.27538060064,15023.594815757284,16272.448329365341
2025-02-05 01:00:00+00:00,,15419.70124260124,14793.986842596882,16043.472271076547
2025-02-05 02:00:00+00:00,,15528.97326411062,14904.13858707573,16153.419325887224
2025-02-05 03:00:00+00:00,,16017.882551048817,15393.286002491335,16642.72038743589
2025-02-05 04:00:00+00:00,,16790.733441908673,16165.438905708397,17414.54503992763
2025-02-05 05:00:00+00:00,,17704.624455597066,17079.316773672883,18328.913826314543
2025-02-05 06:00:00+00:00,,18680.069003916913,18054.51653747533,19303.642688178108
2025-02-05 07:00:00+00:00,,19620.879699053152,18996.367180367193,20245.8286337987
2025-02-05 08:00:00+00:00,,20419.69478590604,19795.106854409805,21044.84886354619
2025-02-05 09:00:00+00:00,,20952.21171678439,20326.782556845632,21577.19789319467
2025-02-05 10:00:00+00:00,,21180.533868191465,20555.12287762554,21804.729248723375
2025-02-05 11:00:00+00:00,,21073.451335012767,20447.019546204436,21697.862293615493
2025-02-05 12:00:00+00:00,,20744.404194153154,20118.108081211827,21368.704003343137
2025-02-05 13:00:00+00:00,,20315.230750578892,19690.229115553415,20939.50985436491
2025-02-05 14:00:00+00:00,,19906.404162283347,19281.979348835972,20531.646504912926
