date,load_tenn_actual,load_tenn_fitted,load_tenn_lower,load_tenn_upper
2024-12-29 00:00:00+00:00,11546.25,11596.494330678266,10961.024739851684,12231.04412618382
2024-12-29 01:00:00+00:00,11235.25,11467.005490238917,10833.09682626356,12102.915104205276
2024-12-29 02:00:00+00:00,10992.25,11861.181415522058,11227.285365680564,12494.513742056799
2024-12-29 03:00:00+00:00,10861.25,12598.377319848289,11963.748286572345,13233.669191253073
2024-12-29 04:00:00+00:00,11141.5,13532.3149666166,12897.073834787981,14167.661030616582
2024-12-29 05:00:00+00:00,11165.0,14502.424570640034,13867.522340477179,15137.183365836132
2024-12-29 06:00:00+00:00,11535.5,15415.466377654042,14781.857383951374,16050.542245978619
2024-12-29 07:00:00+00:00,12360.25,16295.24711804754,15660.578207770523,16929.980009605504
2024-12-29 08:00:00+00:00,13270.75,17117.728712309006,16484.01260066159,17752.496711067615
2024-12-29 09:00:00+00:00,14125.25,17651.338010693777,17016.375975764553,18285.882541433813
2024-12-29 10:00:00+00:00,14819.25,17915.829129954385,17279.654542004246,18548.99481950061
2024-12-29 11:00:00+00:00,14983.75,17973.76144946619,17339.584133848886,18609.180060179136
2024-12-29 12:00:00+00:00,14596.5,17958.10263548477,17322.766429430914,18591.981955719875
2024-12-29 13:00:00+00:00,14426.0,17984.649486756804,17348.25354797428,18619.63380622942
2024-12-29 14:00:00+00:00,14451.5,17967.66242533361,17332.724540610903,18601.536384285053
2024-12-29 15:00:00+00:00,15293.0,17840.130380925482,17203.58558061951,18471.98749427405
2024-12-29 16:00:00+00:00,16136.0,17474.722781046432,16839.322571959197,18108.884399575385
2024-12-29 17:00:00+00:00,16171.0,16848.197592386732,16212.708142160967,17482.250368054498
2024-12-29 18:00:00+00:00,15698.0,16034.650440536481,15399.107285219334,16668.678281317585
2024-12-29 19:00:00+00:00,15121.25,15139.034454333592,14503.243305355712,15772.86784677538
2024-12-29 20:00:00+00:00,14857.75,14240.829673435543,13606.171625731922,14873.81438513317
2024-12-29 21:00:00+00:00,14754.0,13419.45999580511,12785.08629044707,14053.79418672761
2024-12-29 22:00:00+00:00,13935.5,12770.673841933829,12136.506845430766,13405.43135310649
2024-12-29 23:00:00+00:00,13302.75,12398.885693897158,11764.025611025976,13034.499570313974
2024-12-30 00:00:00+00:00,12690.0,12322.90892395974,11687.905593716754,12956.324709510447
2024-12-30 01:00:00+00:00,12130.5,12515.135559328355,11880.709259308887,13149.857655124906
2024-12-30 02:00:00+00:00,12145.75,13011.820922130237,12376.39906734031,13646.145805958533
2024-12-30 03:00:00+00:00,12475.25,13754.313715411268,13119.792480713182,14388.823622819422
2024-12-30 04:00:00+00:00,12905.75,14671.727586321715,14037.295259966748,15305.8718130723
2024-12-30 05:00:00+00:00,13733.5,15682.395889828045,15047.618785688657,16316.351456857312
2024-12-30 06:00:00+00:00,14745.25,16736.55041076676,16101.25099994111,17370.87554136078
2024-12-30 07:00:00+00:00,15640.5,17780.063808749936,17144.669330991175,18414.719373664462
2024-12-30 08:00:00+00:00,16678.75,18739.16311360579,18104.874122108173,19373.93964688228
2024-12-30 09:00:00+00:00,17446.75,19565.144397280652,18930.536076876906,20199.335120188804
2024-12-30 10:00:00+00:00,17798.75,20221.730090223376,19586.84408522858,20855.50262190528
2024-12-30 11:00:00+00:00,17772.5,20684.17100615803,20047.903342328635,21317.020513937074
2024-12-30 12:00:00+00:00,17488.25,20945.19405355805,20308.7490959016,21577.819928147896
2024-12-30 13:00:00+00:00,17602.25,21027.72468264781,20391.89554343895,21661.621261137803
2024-12-30 14:00:00+00:00,17794.25,20934.045484718925,20298.71289750738,21567.514527579056
2024-12-30 15:00:00+00:00,18326.5,20674.245284875527,20037.96476344493,21307.702904269645
2024-12-30 16:00:00+00:00,19015.75,20205.968026173003,19570.635313027586,20839.944953535516
2024-12-30 17:00:00+00:00,18936.0,19533.258868064833,18897.530285921377,20167.42523443606
2024-12-30 18:00:00+00:00,18182.75,18741.897983231116,18105.489016780746,19375.254030798067
2024-12-30 19:00:00+00:00,17071.5,17910.830244317538,17275.397665533852,18543.723254448734
2024-12-30 20:00:00+00:00,16093.75,17127.707298862857,16493.062559984963,17761.27539927257
2024-12-30 21:00:00+00:00,15477.5,16435.56421271181,15801.594249729651,17070.331430735074
2024-12-30 22:00:00+00:00,14242.75,15887.166263712861,15253.258039939545,16523.22942383032
2024-12-30 23:00:00+00:00,13535.25,15551.566076914682,14917.317868595523,16187.81980896857
2024-12-31 00:00:00+00:00,12729.0,15218.0017070598,14583.812918292844,15852.080151130489
2024-12-31 01:00:00+00:00,12293.0,14930.52067767077,14296.423350837977,15565.638877126938
2024-12-31 02:00:00+00:00,12043.25,14932.791949477149,14298.326401012107,15565.965649886974
2024-12-31 03:00:00+00:00,12233.25,15290.200178446314,14655.009206813953,15925.329602753738
2024-12-31 04:00:00+00:00,12750.0,15941.302330334565,15306.290582928159,16576.112748718802
2024-12-31 05:00:00+00:00,12991.0,16788.741268562477,16154.447308234816,17422.66863238035
2024-12-31 06:00:00+00:00,13648.5,17749.809450324774,17115.101993336062,18384.53433019911
2024-12-31 07:00:00+00:00,14605.0,18766.131712863065,18132.115510267446,19400.41406212607
2024-12-31 08:00:00+00:00,15448.25,19711.807650419574,19078.019433603688,20346.306696929532
2024-12-31 09:00:00+00:00,16168.25,20483.74330039489,19848.76350784128,21117.03482138471
2024-12-31 10:00:00+00:00,16750.0,21048.682727047006,20413.117960867927,21681.15269296734
2024-12-31 11:00:00+00:00,16868.25,21359.691888656234,20722.41922285293,21992.085359284305
2024-12-31 12:00:00+00:00,16659.75,21386.976323192226,20751.292521174048,22020.664104834555
2024-12-31 13:00:00+00:00,16279.5,21224.027305335236,20588.549149291357,21856.62255385049
2024-12-31 14:00:00+00:00,16511.5,21000.155439435883,20364.732301194865,21632.089967787557
2024-12-31 15:00:00+00:00,17049.75,20685.86251200619,20050.691650172874,21321.806738522908
2024-12-31 16:00:00+00:00,17805.0,20198.208846666756,19564.036763760843,20833.650286609944
2024-12-31 17:00:00+00:00,17872.25,19502.648129373538,18867.892088910234,20138.74389637486
2024-12-31 18:00:00+00:00,17097.75,18692.71550229032,18057.972870895712,19327.781818870215
