date,load_tenn_actual,load_tenn_fitted,load_tenn_lower,load_tenn_upper
2025-01-08 00:00:00+00:00,14808.25,14407.48,14173.929469935358,14641.031496992466
2025-01-08 01:00:00+00:00,14824.25,14069.816,13836.264975519505,14303.367002576613
2025-01-08 02:00:00+00:00,15113.75,13843.06,13609.508114189748,14076.610141246856
2025-01-08 03:00:00+00:00,15495.0,14031.265,13797.71331272523,14264.815339782337
2025-01-08 04:00:00+00:00,16445.25,14842.13,14608.578384389328,15075.680411446436
2025-01-08 05:00:00+00:00,18687.75,16409.545,16175.993946675164,16643.095973732274
2025-01-08 06:00:00+00:00,20767.75,18525.295,18291.742896241736,18758.844923298842
2025-01-08 07:00:00+00:00,21853.5,20121.838,19888.286742925673,20355.388769982783
2025-01-08 08:00:00+00:00,21857.75,20716.316,20482.76519898635,20949.86722604346
2025-01-08 09:00:00+00:00,21983.5,20878.463,20644.911477262955,21112.013504320064
2025-01-08 10:00:00+00:00,22245.75,21116.232,20882.681031618926,21349.783058676032
2025-01-08 11:00:00+00:00,21993.5,21003.395,20769.84322830118,21236.94525535829
2025-01-08 12:00:00+00:00,21652.5,20903.781,20670.229707277354,21137.331734334464
2025-01-08 13:00:00+00:00,20957.5,20940.193,20706.64165371174,21173.74368076885
2025-01-08 14:00:00+00:00,20415.0,20963.207,20729.65562499164,21196.75765204875
2025-01-08 15:00:00+00:00,20631.5,20993.223,20759.67154811994,21226.77357517705
2025-01-08 16:00:00+00:00,21186.0,21314.092,21080.540159203385,21547.642186260495
2025-01-08 17:00:00+00:00,20440.75,20514.904,20281.353020894014,20748.455047951124
2025-01-08 18:00:00+00:00,19705.75,19639.115,19405.565001860945,19872.667028918055
2025-01-08 19:00:00+00:00,18578.75,18486.91,18253.35893689904,18720.46096395615
2025-01-08 20:00:00+00:00,17266.0,17291.03,17057.47876710844,17524.580794165548
2025-01-08 21:00:00+00:00,16234.75,16302.499,16068.948359370204,16536.050386427312
2025-01-08 22:00:00+00:00,15276.75,15224.262,14990.71066351062,15457.812690567729
2025-01-08 23:00:00+00:00,14469.0,14281.388,14047.836688602638,14514.938715659748
2025-01-09 00:00:00+00:00,13754.75,13816.964,13583.412425614599,14050.514452671709
2025-01-09 01:00:00+00:00,13459.25,13536.371,13302.820094368164,13769.922121425272
2025-01-09 02:00:00+00:00,13435.5,13616.71,13383.159031788386,13850.261058845495
2025-01-09 03:00:00+00:00,13795.5,14132.763,13899.211833854606,14366.313860911716
2025-01-09 04:00:00+00:00,14877.25,15385.463,15151.912112519838,15619.014139576946
2025-01-09 05:00:00+00:00,17443.75,17199.053,16965.501908912956,17432.603935970066
2025-01-09 06:00:00+00:00,19476.25,19153.262,18919.709801662237,19386.811828719347
2025-01-09 07:00:00+00:00,20462.75,19960.582,19727.030890118174,20194.132917175284
2025-01-09 08:00:00+00:00,20764.25,20034.08,19800.528258752816,20267.630285809922
2025-01-09 09:00:00+00:00,21122.25,20221.045,19987.493649628403,20454.59567668551
2025-01-09 10:00:00+00:00,21184.5,20240.24,20006.68870719048,20473.79073424759
2025-01-09 11:00:00+00:00,21315.0,20036.303,19802.75232595591,20269.85435301302
2025-01-09 12:00:00+00:00,21042.75,19574.033,19340.48242010528,19807.584447162386
2025-01-09 13:00:00+00:00,20598.5,19143.432,18909.880516027973,19376.982543085083
2025-01-09 14:00:00+00:00,20420.0,18974.424,18740.87237152423,19207.97439858134
2025-01-09 15:00:00+00:00,20686.0,19357.934,19124.381549222187,19591.483576279294
2025-01-09 16:00:00+00:00,21294.75,20168.39,19934.839757006484,20401.941784063594
2025-01-09 17:00:00+00:00,21104.0,19917.207,19683.65625573873,20150.75828279584
2025-01-09 18:00:00+00:00,20168.25,19139.412,18905.860624364213,19372.962651421323
2025-01-09 19:00:00+00:00,18749.25,18092.7,17859.148016324674,18326.250043381784
2025-01-09 20:00:00+00:00,17649.5,17066.402,16832.85072474167,17299.952751798777
2025-01-09 21:00:00+00:00,16880.75,16266.003,16032.452311651321,16499.55433870843
2025-01-09 22:00:00+00:00,15982.75,15219.356,14985.80550392438,15452.90753098149
2025-01-09 23:00:00+00:00,15286.25,14352.14,14118.588578707548,14585.690605764656
2025-01-10 00:00:00+00:00,14688.25,13759.103,13525.551740115061,13992.653767172169
2025-01-10 01:00:00+00:00,14345.25,13496.485,13262.93412435001,13730.036151407117
2025-01-10 02:00:00+00:00,14338.0,13462.725,13229.173489626313,13696.275516683421
2025-01-10 03:00:00+00:00,14577.5,13893.264,13659.712338536803,14126.814365593911
2025-01-10 04:00:00+00:00,15690.75,15087.028,14853.476832789689,15320.578859846797
2025-01-10 05:00:00+00:00,17917.75,16997.531,16763.980424106645,17231.082451163755
2025-01-10 06:00:00+00:00,19597.25,18690.598,18457.046591288257,18924.148618345367
2025-01-10 07:00:00+00:00,20565.5,19645.023,19411.472888334756,19878.574915391866
2025-01-10 08:00:00+00:00,20664.75,19944.496,19710.94433581931,20178.04636287642
2025-01-10 09:00:00+00:00,21008.75,20302.936,20069.38384397574,20536.485871032848
2025-01-10 10:00:00+00:00,21015.5,20329.914,20096.362138513814,20563.464165570924
2025-01-10 11:00:00+00:00,20598.0,20076.656,19843.105303502423,20310.207330559533
2025-01-10 12:00:00+00:00,20092.5,19530.611,19297.059870453955,19764.161897511065
2025-01-10 13:00:00+00:00,19584.75,18888.877,18655.3259757365,19122.42800279361
2025-01-10 14:00:00+00:00,19280.75,18689.03,18455.47736613419,18922.5793931913
2025-01-10 15:00:00+00:00,19615.0,18794.562,18561.012083429567,19028.114110486677
2025-01-10 16:00:00+00:00,20384.0,19348.037,19114.485381854258,19581.587408911368
2025-01-10 17:00:00+00:00,20101.25,18982.072,18748.521179543015,19215.62320660012
2025-01-10 18:00:00+00:00,19143.25,18171.229,17937.676987624127,18404.779014681237
2025-01-10 19:00:00+00:00,18000.5,17154.072,16920.52036601458,17387.62239307169
2025-01-10 20:00:00+00:00,16896.5,16229.162,15995.61083308785,16462.71286014496
2025-01-10 21:00:00+00:00,16290.0,15648.352,15414.80073864318,15881.90276570029
2025-01-10 22:00:00+00:00,15464.25,14771.538,14537.986710974767,15005.088738031876
2025-01-10 23:00:00+00:00,14200.0,13917.837,13684.285885367404,14151.387912424512
2025-01-11 00:00:00+00:00,13824.0,13102.213,12868.661313216133,13335.76334027324
2025-01-11 01:00:00+00:00,13303.0,12563.71,12330.159041666851,12797.26106872396
2025-01-11 02:00:00+00:00,13078.5,12274.136,12040.584759785057,12507.686786842165
2025-01-11 03:00:00+00:00,12874.0,12315.581,12082.029473491557,12549.131500548665
2025-01-11 04:00:00+00:00,12976.25,12362.405,12128.8543401913,12595.95636724841
2025-01-11 05:00:00+00:00,13412.25,12623.917,12390.365911763789,12857.467938820899
2025-01-11 06:00:00+00:00,14068.25,13223.956,12990.405367694566,13457.507394751674
2025-01-11 07:00:00+00:00,15046.25,13976.66,13743.108869243864,14210.210896300974
2025-01-11 08:00:00+00:00,15660.75,14741.695,14508.14431433456,14975.24634139167
2025-01-11 09:00:00+00:00,16102.75,15516.146,15282.595359908375,15749.697386965485
2025-01-11 10:00:00+00:00,16545.0,15839.187,15605.63518893942,16072.737215996529
2025-01-11 11:00:00+00:00,16472.75,15552.153,15318.6025013223,15785.704528379409
2025-01-11 12:00:00+00:00,16157.25,15219.202,14985.651359829253,15452.753386886363
2025-01-11 13:00:00+00:00,16303.5,14855.012,14621.460272136275,15088.562299193385
2025-01-11 14:00:00+00:00,16625.25,14794.036,14560.484844405832,15027.586871462941
2025-01-11 15:00:00+00:00,17021.75,15321.177,15087.625581448641,15554.72760850575
2025-01-11 16:00:00+00:00,17828.5,16032.442,15798.891107376548,16265.993134433658
2025-01-11 17:00:00+00:00,17906.0,16122.777,15889.225869275311,16356.327896332421
2025-01-11 18:00:00+00:00,17203.0,15582.246,15348.695434108487,15815.797461165595
2025-01-11 19:00:00+00:00,16197.0,14922.986,14689.43565524546,15156.537682302569
2025-01-11 20:00:00+00:00,15483.0,14525.135,14291.583257194456,14758.685284251564
2025-01-11 21:00:00+00:00,15243.25,14030.981,13797.430146778215,14264.532173835325
2025-01-11 22:00:00+00:00,14396.25,12995.008,12761.456715421245,13228.558742478353
2025-01-11 23:00:00+00:00,13550.25,12201.421,11967.869674512844,12434.971701569953
2025-01-12 00:00:00+00:00,12856.5,11449.238,11215.68741791771,11682.78944497482
2025-01-12 01:00:00+00:00,12290.25,11000.408,10766.856747594577,11233.958774651685
2025-01-12 02:00:00+00:00,11802.5,10786.203,10552.652522890066,11019.754549947174
2025-01-12 03:00:00+00:00,11722.75,10754.113,10520.562267783296,10987.664294840404
2025-01-12 04:00:00+00:00,11826.75,10727.309,10493.757998850728,10960.860025907838
2025-01-12 05:00:00+00:00,11622.0,11064.087,10830.536143923036,11297.638170980146
2025-01-12 06:00:00+00:00,12277.0,11271.312,11037.76004520048,11504.86207225759
2025-01-12 07:00:00+00:00,13404.25,11895.501,11661.949962766057,12129.051989823167
2025-01-12 08:00:00+00:00,14243.75,12565.383,12331.831417753438,12798.933444810547
2025-01-12 09:00:00+00:00,14816.0,13573.494,13339.942784002102,13807.044811059211
2025-01-12 10:00:00+00:00,15277.0,13613.675,13380.123233295353,13847.225260352463
2025-01-12 11:00:00+00:00,15087.0,13353.358,13119.807214305258,13586.909241362366
2025-01-12 12:00:00+00:00,14488.0,13202.083,12968.532212453838,13435.634239510946
2025-01-12 13:00:00+00:00,14348.5,13039.75,12806.198598773984,13273.300625831092
2025-01-12 14:00:00+00:00,14554.75,12903.54,12669.989123361958,13137.091150419066
2025-01-12 15:00:00+00:00,15335.75,13423.267,13189.715762350585,13656.817789407694
2025-01-12 16:00:00+00:00,16988.5,14603.349,14369.797285404778,14836.899312461888
2025-01-12 17:00:00+00:00,17269.25,14935.615,14702.064407276557,15169.166434333665
2025-01-12 18:00:00+00:00,16643.75,14730.768,14497.216304896494,14964.318331953604
2025-01-12 19:00:00+00:00,15950.25,14150.634,13917.082566541112,14384.18459359822
2025-01-12 20:00:00+00:00,15554.5,13651.111,13417.55986778359,13884.661894840698
2025-01-12 21:00:00+00:00,15276.25,13223.944,12990.393056131652,13457.495083188762
2025-01-12 22:00:00+00:00,14481.5,12589.778,12356.227611529095,12823.329638586205
2025-01-12 23:00:00+00:00,13800.25,12323.668,12090.11717209096,12557.21919914807
2025-01-13 00:00:00+00:00,13463.5,12084.958,11851.406947779402,12318.50897483651
2025-01-13 01:00:00+00:00,13218.0,11766.746,11533.195305070687,12000.297332127797
2025-01-13 02:00:00+00:00,13153.25,11889.789,11656.237730319091,12123.3397573762
2025-01-13 03:00:00+00:00,13658.5,12304.813,12071.262179861254,12538.364206918364
2025-01-13 04:00:00+00:00,14914.25,13667.672,13434.120916372043,13901.222943429151
2025-01-13 05:00:00+00:00,17772.0,15399.415,15165.863733667376,15632.965760724486
2025-01-13 06:00:00+00:00,19918.75,16939.768,16706.215818709574,17173.317845766684
2025-01-13 07:00:00+00:00,20998.0,18089.8,17856.25030698324,18323.352334040348
2025-01-13 08:00:00+00:00,21197.25,18296.79,18063.237626605776,18530.339653662886
2025-01-13 09:00:00+00:00,21284.0,18620.326,18386.774186647093,18853.876213704203
2025-01-13 10:00:00+00:00,21360.0,18620.268,18386.71595628196,18853.81798333907
2025-01-13 11:00:00+00:00,20817.0,18437.092,18203.54036394163,18670.64239099874
2025-01-13 12:00:00+00:00,20345.5,17905.58,17672.02806542278,18139.13009247989
2025-01-13 13:00:00+00:00,19974.25,17410.523,17176.9714692984,17644.07349635551
2025-01-13 14:00:00+00:00,20222.75,17113.33,16879.778492815225,17346.880519872335
2025-01-13 15:00:00+00:00,20589.0,17451.78,17218.227516621875,17685.329543678985
2025-01-13 16:00:00+00:00,21496.25,18477.87,18244.318589526076,18711.420616583186
2025-01-13 17:00:00+00:00,21464.5,18423.787,18190.23555737135,18657.33758442846
2025-01-13 18:00:00+00:00,20673.0,17864.893,17631.342342932658,18098.444369989767
