number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_solar_geometry,params_vapor_pressure,state
0,285.56606846513574,none,0.7543715725937683,True,False,True,False,True,True,True,True,True,False,False,,0.010958618776603705,4,1,600,large,0.004081635546020179,4.5999258121448103e-08,none,None,0.8987674273744305,False,False,COMPLETE
1,204.7977866970273,large,0.692891928227922,False,True,True,False,True,True,False,True,False,False,True,,0.0817750581648437,3,2,602,small,0.6078731692548558,0.001410297856449877,medium,n_panels,0.7654674050360034,True,False,COMPLETE
2,217.2432965162241,small,0.5427671097755677,False,True,True,False,False,False,True,False,False,False,False,12.0,0.014538294964766461,9,6,509,large,1.55014631328454e-05,0.004924945353549501,medium,distance_capacity,0.7109251865466919,True,True,COMPLETE
3,433.06407397902507,none,0.914389268941674,True,True,False,True,True,False,True,False,False,True,False,12.0,0.035311998403473197,4,7,519,large,1.6767539128347237e-07,2.496432764026865e-05,large,mean,0.5014400295420125,False,False,COMPLETE
4,417.844927226503,large,0.7244494007073803,False,True,True,True,True,False,False,True,True,True,False,1.0,0.04966151069375753,10,10,382,none,0.0009468525399368638,0.0002562623693162816,large,distance_capacity,0.8468801207190264,False,True,COMPLETE
5,811.1717053871903,medium,0.8383711967062842,False,False,True,True,True,False,False,True,False,False,False,1.0,0.025814824237804974,5,3,699,none,8.532803765147223e-06,6.5443896038054e-06,small,distance_n_panels,0.9100647323794644,False,False,COMPLETE
6,751.5665802931225,none,0.9095454518344925,True,False,True,False,True,False,True,True,False,False,False,6.0,0.13670866012077798,10,8,904,none,0.0015878576095363585,8.17419534877293e-05,small,None,0.7206528298832122,False,False,COMPLETE
7,716.924996002013,large,0.6907044132684783,False,False,True,True,False,False,True,False,True,False,True,12.0,0.05669789396653693,9,10,323,none,0.0019959823998081305,0.008771109524909509,large,distance_capacity,0.5438051997831829,False,True,COMPLETE
8,859.9696586939737,none,0.5433309960936252,False,False,False,True,True,True,False,False,False,False,False,12.0,0.09629475421361884,10,5,526,none,0.0005469237190480573,8.102113710931368e-08,small,distance_n_panels,0.9060525325138532,False,True,COMPLETE
9,5873.3676429333855,none,0.7096519925183494,True,True,True,False,True,False,True,True,True,False,True,,0.031500234534803565,8,10,965,large,1.0675111598472807e-08,1.0197764869225989e-07,small,None,0.598861931811925,False,True,COMPLETE
10,295.21063588498185,large,0.6384440684572911,False,True,False,False,False,True,False,True,False,True,True,,0.29258110692412564,6,1,767,small,0.137719293004168,0.43403386124161636,medium,n_panels,0.7819936735482277,True,False,COMPLETE
11,249.08209501421422,small,0.5177447107519235,False,True,True,False,False,True,False,False,False,False,True,6.0,0.010469825638350765,7,4,470,small,0.9731845328067237,0.010624721272023374,medium,n_panels,0.7017610529241697,True,True,COMPLETE
12,245.61342853672662,small,0.6117784100487154,False,True,True,False,False,True,False,False,False,False,True,,0.018695866383580038,3,7,653,small,1.1440945900143206e-05,0.005032597252293506,medium,max,0.660044346840519,True,True,COMPLETE
13,272.4903680482233,small,0.5901202653571749,False,True,True,False,False,True,True,False,False,False,True,12.0,0.09825753609962083,7,3,800,small,1.4302949433365892e-05,0.4782803381743427,medium,idw,0.8035449891644378,True,False,COMPLETE
14,246.02554376022863,medium,0.8108460795996888,False,True,False,False,False,False,True,True,False,True,False,,0.1891876022172258,8,6,449,large,0.037233928808314935,0.0013090276987427843,medium,capacity,0.9991770505744766,True,False,COMPLETE
15,542.9843284111402,small,0.6552520885751729,False,True,True,False,False,True,False,False,False,False,True,12.0,0.07005831968146635,3,3,576,small,6.085934356841106e-07,2.044926521058621e-06,none,n_panels,0.6355051972024681,True,True,COMPLETE
16,218.46260947404528,large,0.9899538497893203,False,True,True,False,False,True,False,True,False,False,False,6.0,0.019762899850068353,6,5,704,large,3.6890193539644036e-05,0.0466296338695784,medium,distance_capacity,0.7575024294095322,True,True,COMPLETE
17,254.69957983753352,large,0.5843651720634206,False,True,True,False,True,False,True,False,False,False,True,1.0,0.015367659787102613,8,8,412,small,6.529531634511203e-07,0.0005525821616285552,medium,mean,0.6912004239561624,True,False,COMPLETE
18,224.1447678429813,small,0.7775261856623827,True,True,False,False,False,True,False,True,True,True,False,,0.04422595382719852,5,2,618,large,0.00015607801116971734,0.05167638698630215,medium,max,0.8241118765336353,True,True,COMPLETE
19,337.6465205336311,medium,0.5102837734470992,False,True,True,False,True,False,True,False,False,False,True,12.0,0.08172712097179145,9,4,815,small,0.034826364258811686,0.0012842459882308904,none,idw,0.5880857282382852,True,False,COMPLETE
