number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_turbulence_intensity,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_features,params_encode_wind_direction,params_gust_factor,params_lags_option,params_lags_target,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_vapor_pressure,state
0,191.4287092655787,0.8693634137242428,False,True,False,True,True,True,True,False,False,True,large,,0.0589163770415575,4,6,622,none,0.10736487892636286,2.6478909214965914e-06,max,0.7561999911661559,,True,COMPLETE
1,202.25409887256572,0.8734974165092642,False,True,False,True,True,False,True,True,True,False,none,12.0,0.1945179055406282,4,2,904,none,1.9814166648956455e-06,0.0006966517702139919,capacity,0.5877856940472747,,True,COMPLETE
2,181.28651567766994,0.6227644064019089,False,True,True,True,False,True,False,True,True,False,none,12.0,0.010370103464136181,7,7,638,large,0.0007405842204866157,1.701654017207549e-08,max,0.9819269771896619,3.0,True,COMPLETE
3,295.9570781925491,0.9148687134413909,True,False,False,True,False,True,False,False,False,False,large,1.0,0.28901399557721624,4,3,641,large,0.030116929786718673,0.0006583271519496253,distance_capacity,0.5512260625612768,,False,COMPLETE
4,175.03582511482304,0.7187245023232278,True,True,True,False,True,True,False,True,True,False,large,12.0,0.07192977516911238,4,9,958,small,5.076688299577565e-06,9.603142204499417e-08,None,0.5058466189595916,6.0,False,COMPLETE
5,206.25321257820596,0.8514797756340056,False,False,True,False,False,True,True,True,True,True,large,6.0,0.24157406874191958,3,10,804,large,0.02918601330051468,0.007196747927985191,distance_capacity,0.8562259353985762,2.0,False,COMPLETE
6,203.93439090429573,0.9538854428596879,False,False,True,True,False,False,False,True,False,False,none,6.0,0.10248980599449863,10,2,612,small,5.786127720193829e-06,6.37269466161108e-08,distance_capacity,0.9183541262215054,4.0,True,COMPLETE
7,195.66281721501687,0.8168877163114436,True,True,False,True,False,False,False,False,False,True,none,6.0,0.27323924646286873,4,5,576,large,0.0006696584408421307,0.5838051495621419,None,0.8810229074554689,,False,COMPLETE
8,199.40670583665204,0.994594421018848,False,False,False,False,False,True,True,True,True,True,large,6.0,0.03157685556208924,5,10,320,large,0.08109691041828704,1.5340052966600665e-07,idw,0.8814455368045173,,True,COMPLETE
9,161.9058164615325,0.7039248348561498,True,False,True,True,True,False,True,True,False,False,small,6.0,0.06980154694502574,3,8,425,small,0.0008030252905947407,7.54209138030495e-06,distance_n_turbines,0.734374983732212,6.0,False,COMPLETE
10,160.74150753693925,0.5082020348448733,True,False,True,False,True,False,True,False,False,False,small,,0.02536448543960445,7,8,381,small,1.481240459601874e-08,9.05797210380101e-06,distance_n_turbines,0.6587651754979978,6.0,False,COMPLETE
11,161.07764056179772,0.5232913538556886,True,False,True,False,True,False,True,False,False,False,small,,0.025687089643484012,7,8,365,small,2.752500294078268e-07,7.642456444033361e-06,distance_n_turbines,0.6790916395484013,6.0,False,COMPLETE
12,161.44365525683517,0.5000129878365873,True,False,True,False,True,False,True,False,False,False,small,,0.02311926705789492,7,5,441,small,1.3472228900753944e-08,2.3658765590570363e-05,distance_n_turbines,0.6752149331799425,6.0,False,COMPLETE
13,164.8416630989705,0.505937293437468,True,False,True,False,True,False,True,False,False,False,small,,0.024812375373645102,9,8,307,small,1.0047475604054765e-08,1.328728669744125e-06,distance_n_turbines,0.65050427231725,5.0,False,COMPLETE
14,162.23384635938683,0.5937112782432856,True,False,True,False,True,False,True,False,False,False,small,,0.013046851947783678,8,7,452,small,2.2966656329273225e-07,9.946407427947089e-05,mean,0.7702488822149031,5.0,False,COMPLETE
15,160.50287279108048,0.5796206637568193,True,False,True,False,True,False,True,False,False,False,small,,0.01771410256352849,6,8,513,small,2.533355966311866e-07,1.03044396124406e-06,distance_n_turbines,0.64838538406945,5.0,False,COMPLETE
16,273.7898675830983,0.6039065743302368,True,False,True,False,True,False,True,False,False,False,small,1.0,0.01662151440054923,6,4,523,none,1.3365902307902004e-07,5.971810077782607e-07,distance_n_turbines,0.6147276107103465,5.0,False,COMPLETE
17,153.77210551670103,0.6546881700731012,True,False,True,False,True,False,True,False,False,False,small,,0.03497541142570973,6,6,748,small,5.261539418600799e-05,0.014251423771951674,mean,0.786528854615715,4.0,False,COMPLETE
18,155.0896133923167,0.6649539489637448,True,False,True,False,True,False,True,False,False,True,small,,0.04069980536523004,6,6,741,small,4.66844128879787e-05,0.0874657171528017,mean,0.8091982931986967,4.0,False,COMPLETE
19,152.04662922982808,0.6651629369589696,True,False,True,False,True,False,True,False,False,True,small,,0.04482273063166705,5,6,745,small,5.85623992606124e-05,0.27607120257548334,mean,0.809084770719413,3.0,False,COMPLETE
20,173.2669589680867,0.7739662796874879,True,False,True,False,True,False,True,False,False,True,small,1.0,0.12595966242442674,5,4,729,none,8.223468903644895e-05,0.04306073084794232,mean,0.8103664559559818,3.0,False,COMPLETE
21,157.38023191596423,0.6626149388960365,True,False,True,False,True,False,True,False,False,True,small,,0.04043235763380218,5,6,739,small,6.734968081367778e-05,0.18653882017720066,mean,0.8256106705078607,4.0,False,COMPLETE
22,159.2268558146731,0.6724434521984317,True,False,True,False,True,False,True,False,False,True,small,,0.04143048083393097,6,6,820,small,2.362691214325394e-05,0.01550759189774491,mean,0.7246357558289508,3.0,False,COMPLETE
23,169.10709796462794,0.765320246955935,True,False,True,False,True,False,True,False,False,True,small,,0.042619402514309374,8,4,711,small,0.003954685794759207,0.8810060287606357,mean,0.7883282299006182,4.0,False,COMPLETE
24,169.32448447740873,0.6494520048490305,True,False,True,False,True,False,True,False,False,True,small,,0.05204989823888771,5,7,841,small,0.00022797890729239485,0.083179512170304,mean,0.9519855347170537,2.0,False,COMPLETE
25,166.71892651911244,0.7289317375551586,True,False,True,False,True,False,True,False,False,True,small,,0.09441807421086448,6,5,777,small,1.7468587361902835e-05,0.002967976700273231,mean,0.8263001444698799,3.0,False,COMPLETE
26,157.35156736702817,0.5580622880008239,True,True,False,False,True,False,False,False,True,True,small,,0.032199253200760475,8,6,868,small,0.0035989828407119906,0.13271823503012287,idw,0.7024397512843967,,True,COMPLETE
27,166.88090349948183,0.634935342905506,True,False,True,False,True,False,True,False,False,True,small,,0.049803707270578215,5,3,705,small,2.6645016673800636e-06,0.001497771198144558,capacity,0.8483680862157441,4.0,False,COMPLETE
28,179.85002906339597,0.6877254897166997,True,False,True,False,True,False,True,False,False,True,none,1.0,0.03468564535430745,6,1,683,none,2.331147072847235e-05,0.03820513500989992,mean,0.7884052111848621,4.0,False,COMPLETE
29,154.002263430843,0.7846582232470137,False,True,False,False,True,True,True,False,False,True,small,,0.07241074120054838,5,6,778,small,0.4563898217757111,0.015044506961653933,max,0.755139663186942,,True,COMPLETE
